"Date","Listing Days Booked","Booked Listings"
"2023-05-01","8135","466"
"2023-06-01","7860","511"
"2023-07-01","8947","472"
"2023-08-01","9112","492"
"2023-09-01","9737","523"
"2023-10-01","11510","581"
"2023-11-01","13735","691"
"2023-12-01","11612","770"
"2024-01-01","12203","782"
"2024-02-01","13483","957"
"2024-03-01","11049","674"
"2024-04-01","10514","684"
"2024-05-01","12780","808"
"2024-06-01","11482","752"
"2024-07-01","13256","678"
"2024-08-01","13796","716"
"2024-09-01","16820","952"
"2024-10-01","14728","799"
"2024-11-01","16355","962"
"2024-12-01","16688","1157"
"2025-01-01","19767","1178"
"2025-02-01","19100","1254"
"2025-03-01","22428","1401"
"2025-04-01","19016","1230"
"2025-05-01","18616","1357"
"2025-06-01","17050","1141"
"2025-07-01","17775","1007"
"2025-08-01","18447","1027"
"2025-09-01","18811","1053"
"2025-10-01","20257","1098"
"2025-11-01","21050","1256"
"2025-12-01","24336","1806"
"2026-01-01","32698","1889"
"2026-02-01","33221","2097"
"2026-03-01","28157","1511"
"2026-04-01","26182","1598"
