"Date","Length of Stay"
"2023-05-01",""
"2023-06-01",""
"2023-07-01",""
"2023-08-01",""
"2023-09-01",""
"2023-10-01",""
"2023-11-01",""
"2023-12-01",""
"2024-01-01",""
"2024-02-01",""
"2024-03-01",""
"2024-04-01","6.33"
"2024-05-01","4.43"
"2024-06-01","4.68"
"2024-07-01","4.74"
"2024-08-01","4.55"
"2024-09-01","4.44"
"2024-10-01","4.52"
"2024-11-01","4.35"
"2024-12-01","4.49"
"2025-01-01","4.84"
"2025-02-01","4.68"
"2025-03-01","4.89"
"2025-04-01","3.96"
"2025-05-01","4.29"
"2025-06-01","4.75"
"2025-07-01","5.22"
"2025-08-01","4.5"
"2025-09-01","4.65"
"2025-10-01","4.3"
"2025-11-01","4.06"
"2025-12-01","4.56"
"2026-01-01","4.87"
"2026-02-01","4.72"
"2026-03-01","5.12"
"2026-04-01","4.58"
