"Date","Occupancy"
"2023-05-01","55.92"
"2023-06-01","54.15"
"2023-07-01","63.08"
"2023-08-01","64.61"
"2023-09-01","67.55"
"2023-10-01","69.76"
"2023-11-01","72.31"
"2023-12-01","55.03"
"2024-01-01","53.09"
"2024-02-01","56.58"
"2024-03-01","47.2"
"2024-04-01","52.66"
"2024-05-01","55.83"
"2024-06-01","52.44"
"2024-07-01","66.36"
"2024-08-01","65.48"
"2024-09-01","68.3"
"2024-10-01","55.92"
"2024-11-01","64.21"
"2024-12-01","60.05"
"2025-01-01","58.89"
"2025-02-01","71.77"
"2025-03-01","55.43"
"2025-04-01","59.22"
"2025-05-01","46.54"
"2025-06-01","56.2"
"2025-07-01","54.07"
"2025-08-01","61.1"
"2025-09-01","62.83"
"2025-10-01","63.7"
"2025-11-01","63.57"
"2025-12-01","56.34"
"2026-01-01","60.37"
"2026-02-01","66.93"
"2026-03-01","52.44"
"2026-04-01","60.22"
