"Date","1 bedroom","2 bedroom","3 bedroom","4 bedroom","5 bedroom","6+ bedroom"
"2023-05-01","158.98","204.23","312.22","189.97","0","0"
"2023-06-01","166.04","222.58","354.23","229.93","0","0"
"2023-07-01","157.53","222.06","352.02","306.76","89.27","0"
"2023-08-01","162.27","231.8","335.05","341.78","95.19","0"
"2023-09-01","164.91","226.34","324.29","409.87","92.46","0"
"2023-10-01","171","228.59","392.49","542.14","95.94","0"
"2023-11-01","177.94","255.04","393.93","825.73","77.8","0"
"2023-12-01","212.26","332.6","709.85","772.12","512.25","53.22"
"2024-01-01","217.8","358.08","376.57","469.78","821.95","87.54"
"2024-02-01","232.02","353.46","529.5","719.91","493.19","167.12"
"2024-03-01","201.84","283.64","598.72","664.36","246.07","0"
"2024-04-01","197.31","282.28","478.6","982.16","233.42","0"
"2024-05-01","194.77","266.25","496.49","778.82","234.08","0"
"2024-06-01","190.8","276.06","460.57","745.5","224.94","0"
"2024-07-01","191.18","276.89","440.17","478.24","290.36","0"
"2024-08-01","185.44","259.71","417.07","768.3","239.88","0"
"2024-09-01","232.93","299.22","460.62","558.01","168.04","0"
"2024-10-01","191.3","302.73","416.33","372.39","148.51","0"
"2024-11-01","201.64","289.09","425.61","1046.61","180.22","0"
"2024-12-01","229.34","327.02","479.46","791.83","262.06","72.51"
"2025-01-01","227.38","331.72","485.41","679.97","281.26","72.16"
"2025-02-01","228.76","326.5","678.1","762.64","283.5","91.28"
"2025-03-01","246.63","342.97","645.77","726","551.66","78.52"
"2025-04-01","211.38","301.7","621.19","811.28","470.26","59.93"
"2025-05-01","210.27","316.45","524.11","698.55","303.39","73.88"
"2025-06-01","192.94","269.27","480.52","792.78","385.35","85.93"
"2025-07-01","179.63","246.42","401.92","947.36","247.45","88.93"
"2025-08-01","176.5","242.99","414.56","1017.17","271.25","83.71"
"2025-09-01","181.21","246.64","380.26","892.5","379.66","61.76"
"2025-10-01","192.85","261.61","319.37","555.05","531.18","92.66"
"2025-11-01","201.2","297.06","425.02","672.07","363.04","103.29"
"2025-12-01","243.56","340.16","488.78","968.3","315.42","49.41"
"2026-01-01","256.96","375.42","521.44","698.93","533.82","102.02"
"2026-02-01","317.31","425.23","673.84","948.4","1072.78","336.85"
"2026-03-01","225.45","383.08","537.43","1116.23","575.85","111.94"
"2026-04-01","224.39","362.47","527.95","1133.09","719.56","119.85"
