"Date","Daily Rate"
"2023-05-01","164"
"2023-06-01","173"
"2023-07-01","167"
"2023-08-01","171"
"2023-09-01","173"
"2023-10-01","179"
"2023-11-01","188"
"2023-12-01","230"
"2024-01-01","231"
"2024-02-01","248"
"2024-03-01","212"
"2024-04-01","207"
"2024-05-01","202"
"2024-06-01","201"
"2024-07-01","200"
"2024-08-01","193"
"2024-09-01","240"
"2024-10-01","200"
"2024-11-01","210"
"2024-12-01","239"
"2025-01-01","239"
"2025-02-01","242"
"2025-03-01","259"
"2025-04-01","222"
"2025-05-01","221"
"2025-06-01","202"
"2025-07-01","187"
"2025-08-01","184"
"2025-09-01","188"
"2025-10-01","199"
"2025-11-01","210"
"2025-12-01","252"
"2026-01-01","268"
"2026-02-01","329"
"2026-03-01","236"
"2026-04-01","234"
