"Date","Budget","Economy","Midscale","Upscale","Luxury"
"2023-05-01","133","187","213","269","237"
"2023-06-01","141","196","215","300","257"
"2023-07-01","140","199","216","242","178"
"2023-08-01","141","200","215","265","166"
"2023-09-01","143","199","225","249","166"
"2023-10-01","147","205","237","251","245"
"2023-11-01","146","207","240","271","362"
"2023-12-01","174","241","320","342","456"
"2024-01-01","177","262","292","387","554"
"2024-02-01","184","270","340","407","556"
"2024-03-01","164","233","286","366","531"
"2024-04-01","165","222","285","382","455"
"2024-05-01","163","224","282","355","483"
"2024-06-01","164","224","279","342","489"
"2024-07-01","163","224","272","314","438"
"2024-08-01","162","214","252","316","335"
"2024-09-01","192","279","321","389","392"
"2024-10-01","164","223","276","319","463"
"2024-11-01","171","234","288","327","507"
"2024-12-01","191","273","326","411","532"
"2025-01-01","187","270","353","435","633"
"2025-02-01","178","261","380","485","641"
"2025-03-01","191","282","389","467","844"
"2025-04-01","176","247","331","425","681"
"2025-05-01","174","242","325","427","666"
"2025-06-01","163","223","308","348","469"
"2025-07-01","154","210","286","337","565"
"2025-08-01","152","207","270","308","804"
"2025-09-01","154","216","267","360","858"
"2025-10-01","163","221","282","350","626"
"2025-11-01","169","226","302","332","742"
"2025-12-01","188","262","338","412","1036"
"2026-01-01","212","278","340","398","576"
"2026-02-01","249","335","407","452","706"
"2026-03-01","188","238","299","314","546"
"2026-04-01","181","236","286","307","751"
