"Date","Booked Listings","Daily Rate"
"2026-05-14","671","211.85"
"2026-05-15","716","216.78"
"2026-05-16","780","221.71"
"2026-05-17","683","211.85"
"2026-05-18","598","197.07"
"2026-05-19","569","197.07"
"2026-05-20","550","197.07"
"2026-05-21","558","202"
"2026-05-22","575","211.85"
"2026-05-23","592","216.78"
"2026-05-24","512","202"
"2026-05-25","471","192.15"
"2026-05-26","473","197.07"
"2026-05-27","459","197.07"
"2026-05-28","444","197.07"
"2026-05-29","439","211.85"
"2026-05-30","447","211.85"
"2026-05-31","382","206.93"
"2026-06-01","355","197.07"
"2026-06-02","394","202"
"2026-06-03","483","211.85"
"2026-06-04","648","216.78"
"2026-06-05","730","231.56"
"2026-06-06","723","236.49"
"2026-06-07","521","216.78"
"2026-06-08","366","206.93"
"2026-06-09","307","197.07"
"2026-06-10","308","192.15"
"2026-06-11","306","197.07"
"2026-06-12","326","202"
"2026-06-13","319","206.93"
"2026-06-14","283","197.07"
"2026-06-15","277","197.07"
"2026-06-16","266","192.15"
"2026-06-17","257","192.15"
"2026-06-18","243","192.15"
"2026-06-19","245","197.07"
"2026-06-20","248","206.93"
"2026-06-21","244","202"
"2026-06-22","245","197.07"
"2026-06-23","232","197.07"
"2026-06-24","223","192.15"
"2026-06-25","220","192.15"
"2026-06-26","218","202"
"2026-06-27","218","202"
"2026-06-28","220","197.07"
"2026-06-29","214","197.07"
"2026-06-30","203","197.07"
"2026-07-01","195","192.15"
"2026-07-02","198","192.15"
"2026-07-03","206","197.07"
"2026-07-04","208","206.93"
"2026-07-05","205","197.07"
"2026-07-06","200","187.22"
"2026-07-07","208","197.07"
"2026-07-08","210","192.15"
"2026-07-09","222","192.15"
"2026-07-10","228","197.07"
"2026-07-11","235","202"
"2026-07-12","222","192.15"
"2026-07-13","202","187.22"
"2026-07-14","196","187.22"
"2026-07-15","195","192.15"
"2026-07-16","199","187.22"
"2026-07-17","196","197.07"
"2026-07-18","194","197.07"
"2026-07-19","191","182.29"
"2026-07-20","189","187.22"
"2026-07-21","190","192.15"
"2026-07-22","190","192.15"
"2026-07-23","193","197.07"
"2026-07-24","190","202"
"2026-07-25","191","192.15"
"2026-07-26","186","192.15"
"2026-07-27","187","182.29"
"2026-07-28","181","182.29"
"2026-07-29","166","192.15"
"2026-07-30","159","192.15"
"2026-07-31","154","197.07"
"2026-08-01","133","226.63"
"2026-08-02","130","216.78"
"2026-08-03","126","206.93"
"2026-08-04","125","206.93"
"2026-08-05","127","211.85"
"2026-08-06","142","206.93"
"2026-08-07","139","231.56"
"2026-08-08","145","216.78"
"2026-08-09","136","221.71"
"2026-08-10","145","211.85"
"2026-08-11","140","216.78"
"2026-08-12","139","221.71"
"2026-08-13","149","211.85"
"2026-08-14","144","221.71"
"2026-08-15","147","221.71"
"2026-08-16","134","211.85"
"2026-08-17","126","211.85"
"2026-08-18","130","211.85"
"2026-08-19","129","211.85"
"2026-08-20","129","211.85"
"2026-08-21","126","226.63"
"2026-08-22","122","216.78"
"2026-08-23","115","216.78"
"2026-08-24","116","216.78"
"2026-08-25","116","216.78"
"2026-08-26","114","216.78"
"2026-08-27","111","221.71"
"2026-08-28","109","236.49"
"2026-08-29","106","236.49"
"2026-08-30","100","216.78"
"2026-08-31","97","206.93"
"2026-09-01","132","206.93"
"2026-09-02","147","202"
"2026-09-03","168","211.85"
"2026-09-04","214","221.71"
"2026-09-05","253","221.71"
"2026-09-06","252","216.78"
"2026-09-07","218","206.93"
"2026-09-08","171","202"
"2026-09-09","194","202"
"2026-09-10","232","202"
"2026-09-11","254","221.71"
"2026-09-12","248","221.71"
"2026-09-13","191","206.93"
"2026-09-14","151","206.93"
"2026-09-15","127","202"
"2026-09-16","114","202"
"2026-09-17","115","206.93"
"2026-09-18","112","216.78"
"2026-09-19","110","211.85"
"2026-09-20","103","202"
"2026-09-21","102","206.93"
"2026-09-22","102","202"
"2026-09-23","94","202"
"2026-09-24","93","202"
"2026-09-25","87","216.78"
"2026-09-26","89","236.49"
"2026-09-27","91","216.78"
"2026-09-28","91","226.63"
"2026-09-29","87","206.93"
"2026-09-30","84","216.78"
"2026-10-01","88","206.93"
"2026-10-02","82","231.56"
"2026-10-03","82","231.56"
"2026-10-04","79","202"
"2026-10-05","76","192.15"
"2026-10-06","84","197.07"
"2026-10-07","83","202"
"2026-10-08","83","197.07"
"2026-10-09","87","221.71"
"2026-10-10","91","231.56"
"2026-10-11","92","206.93"
"2026-10-12","91","197.07"
"2026-10-13","83","197.07"
"2026-10-14","82","202"
"2026-10-15","83","211.85"
"2026-10-16","81","231.56"
"2026-10-17","82","236.49"
"2026-10-18","74","197.07"
"2026-10-19","75","197.07"
"2026-10-20","78","192.15"
"2026-10-21","74","192.15"
"2026-10-22","77","206.93"
"2026-10-23","75","226.63"
"2026-10-24","74","231.56"
"2026-10-25","73","197.07"
"2026-10-26","73","197.07"
"2026-10-27","72","206.93"
"2026-10-28","74","192.15"
"2026-10-29","71","206.93"
"2026-10-30","67","216.78"
"2026-10-31","72","226.63"
