"Date","Revenue"
"2023-05-01","2868.29"
"2023-06-01","2660.05"
"2023-07-01","3156.8"
"2023-08-01","3165.92"
"2023-09-01","3212.72"
"2023-10-01","3555.1"
"2023-11-01","3741.5"
"2023-12-01","3465.6"
"2024-01-01","3604.86"
"2024-02-01","3488.47"
"2024-03-01","3468.65"
"2024-04-01","3184.28"
"2024-05-01","3198.18"
"2024-06-01","3063.97"
"2024-07-01","3906.38"
"2024-08-01","3724.28"
"2024-09-01","4240.11"
"2024-10-01","3695.44"
"2024-11-01","3572.75"
"2024-12-01","3449.74"
"2025-01-01","4008.3"
"2025-02-01","3683.83"
"2025-03-01","4151.79"
"2025-04-01","3438.59"
"2025-05-01","3025.63"
"2025-06-01","3013.93"
"2025-07-01","3297.12"
"2025-08-01","3311.28"
"2025-09-01","3356.73"
"2025-10-01","3677.68"
"2025-11-01","3515.55"
"2025-12-01","3394.54"
"2026-01-01","4630.91"
"2026-02-01","5206.58"
"2026-03-01","4404.39"
"2026-04-01","3838.12"
