"Date","1 bedroom","2 bedroom","3 bedroom","4 bedroom","5 bedroom","6+ bedroom"
"2023-05-01","2774.59","3659.18","5245.35","2596.27","",""
"2023-06-01","2550.59","3485.31","5809.4","2989.03","",""
"2023-07-01","2935.14","4977.89","7392.37","6339.61","1517.66",""
"2023-08-01","2956.68","4854.8","9297.72","6038.12","2950.94",""
"2023-09-01","3086.58","3903.13","6420.87","7377.62","2773.91",""
"2023-10-01","3361.08","4795.24","10283.21","8493.59","2974.27",""
"2023-11-01","3540.75","5007.3","7372.08","16101.83","2333.95",""
"2023-12-01","3229.37","4903.39","8001.95","15056.28","3841.84","239.5"
"2024-01-01","3433.41","5458.07","4680.19","2583.79","1643.9","350.18"
"2024-02-01","3301.32","4907.84","5391.25","6839.11","5548.38","835.61"
"2024-03-01","3331.05","4313.4","9729.25","9965.33","3937.17",""
"2024-04-01","3035","4298.07","7944.77","5892.98","4668.39",""
"2024-05-01","3128.05","3711.6","6040.58","3504.71","2808.9",""
"2024-06-01","2966.9","3452.94","5789.98","14537.29","2699.32",""
"2024-07-01","3775.29","4758.49","10013.98","8608.32","4936.16",""
"2024-08-01","3621.68","4400.69","7090.24","10372.03","2158.9",""
"2024-09-01","4145.52","4929","8488.65","5161.61","2352.59",""
"2024-10-01","3566.57","4942.91","7355.2","7075.35","1930.67",""
"2024-11-01","3477.18","4292.24","6596.93","7675.16","2042.44",""
"2024-12-01","3368.82","4007.68","6328.81","4355.06","3537.83","145.02"
"2025-01-01","3863.56","4969.3","8373.35","12069.49","2742.25","505.15"
"2025-02-01","3517.12","4798.34","5424.77","17794.85","3260.24","547.65"
"2025-03-01","4008.88","5004.65","6113.32","12160.57","7833.56","235.57"
"2025-04-01","3310.11","4106.2","8696.72","12710.04","6583.61","329.62"
"2025-05-01","2933.12","3912.72","4117.98","4540.56","3716.55","221.63"
"2025-06-01","2905.17","3782.27","5491.62","9777.62","6069.19","171.86"
"2025-07-01","3184.5","4278.79","6229.77","8526.24","4289.08","88.93"
"2025-08-01","3178.11","4266.17","7669.28","12206.04","6058.03","334.86"
"2025-09-01","3259.4","4263.35","5577.22","4462.46","7719.85","401.41"
"2025-10-01","3584.72","4408.44","5703.11","8695.82","10623.6","463.32"
"2025-11-01","3404.87","4432.62","7468.18","8960.95","5203.5","413.17"
"2025-12-01","3336.07","3835.65","4992.54","6778.1","6728.94","197.64"
"2026-01-01","4538.22","5450","5851.73","10309.25","9786.65","204.04"
"2026-02-01","5103.26","6234.88","6844.82","13751.8","14661.28","2189.54"
"2026-03-01","4280.36","6240.85","5965.47","11162.27","7102.11","223.89"
"2026-04-01","3678.51","5487.9","8329.83","21528.7","12232.56","119.85"
