"Date","Unique","B&B","Apartment","House"
"2023-05-01","","1354.36","1317208.98","18061.44"
"2023-06-01","","1688.56","1341012.05","16582.49"
"2023-07-01","","2771.18","1466150.12","21088.81"
"2023-08-01","","2940.98","1528479.73","26209.57"
"2023-09-01","","3007.5","1655443.53","21801.94"
"2023-10-01","","3857.97","2039750.17","21905.59"
"2023-11-01","2304.78","3923.96","2515979.77","63167.41"
"2023-12-01","424.68","3017.18","2579863.05","85206.98"
"2024-01-01","2315.07","3107.84","2746828.27","66752.87"
"2024-02-01","5545.89","8619.76","3194424.38","129878.35"
"2024-03-01","1384","2458.23","2241846.5","92178.66"
"2024-04-01","1985.93","2125.93","2103019.82","70912.84"
"2024-05-01","8498.6","6947.79","2498268.69","70417.67"
"2024-06-01","8946.02","738.37","2222653.23","71766.15"
"2024-07-01","14105.65","1296.7","2541142.54","91978.23"
"2024-08-01","5288.89","449.88","2595729.64","65118.05"
"2024-09-01","3302.08","546.59","3940527.61","92210.22"
"2024-10-01","3623.89","","2900335.44","48693.59"
"2024-11-01","3136.15","","3371262.65","62583.87"
"2024-12-01","9673.89","308.16","3892908.12","88460.77"
"2025-01-01","11089.26","835.9","4574270.51","135578.8"
"2025-02-01","8773.83","","4496476.22","114270.93"
"2025-03-01","20793.34","","5608439.2","187421.6"
"2025-04-01","4084.96","306.08","4126011.05","99063.11"
"2025-05-01","2523.16","","4035554.47","67699.18"
"2025-06-01","9546.6","","3347281.12","82066.4"
"2025-07-01","6425.25","","3262176.28","51602.1"
"2025-08-01","7971.73","388.87","3330386.44","61937.57"
"2025-09-01","6645.87","","3449782.68","78203.33"
"2025-10-01","6835.3","174.43","3944054.99","87027.42"
"2025-11-01","6261.18","572.09","4310068.13","98632.08"
"2025-12-01","6411.25","1543.25","5980273.02","142303.65"
"2026-01-01","10717.32","1643.04","8531435.88","203999.65"
"2026-02-01","12093.34","3356.07","10615322.41","287416.48"
"2026-03-01","5730.39","23971.69","6505167.4","120167.65"
"2026-04-01","5098.77","160523.92","5825234.53","142451"
