"Date","1 bedroom","2 bedroom","3 bedroom","4 bedroom","5 bedroom","6+ bedroom"
"2023-05-01","387","69","14","4","3","9"
"2023-06-01","387","68","13","3","2","8"
"2023-07-01","383","70","17","3","2","9"
"2023-08-01","364","72","18","3","3","9"
"2023-09-01","408","78","19","3","3","9"
"2023-10-01","434","86","20","6","3","9"
"2023-11-01","532","108","27","6","3","12"
"2023-12-01","718","136","31","7","7","15"
"2024-01-01","711","138","29","9","8","14"
"2024-02-01","786","159","41","8","12","19"
"2024-03-01","777","150","39","9","12","18"
"2024-04-01","495","89","31","4","3","14"
"2024-05-01","541","92","28","2","3","13"
"2024-06-01","492","89","22","2","4","13"
"2024-07-01","449","89","24","4","4","12"
"2024-08-01","451","85","23","4","3","12"
"2024-09-01","641","115","28","7","6","17"
"2024-10-01","645","116","26","7","5","16"
"2024-11-01","599","107","26","7","3","13"
"2024-12-01","862","149","35","12","9","15"
"2025-01-01","888","155","38","12","8","13"
"2025-02-01","938","177","44","11","11","15"
"2025-03-01","1093","199","49","12","11","15"
"2025-04-01","977","187","42","12","7","14"
"2025-05-01","981","177","35","12","3","14"
"2025-06-01","741","128","25","8","4","11"
"2025-07-01","687","127","28","8","4","9"
"2025-08-01","636","119","27","5","3","11"
"2025-09-01","646","107","29","8","1","13"
"2025-10-01","657","117","25","7","2","13"
"2025-11-01","748","129","32","6","3","12"
"2025-12-01","1176","190","46","13","8","14"
"2026-01-01","1258","206","52","13","8","15"
"2026-02-01","1422","262","62","16","9","14"
"2026-03-01","1374","254","57","17","8","12"
"2026-04-01","889","157","34","10","4","12"
