"Date","Length of Stay"
"2023-05-01",""
"2023-06-01",""
"2023-07-01",""
"2023-08-01",""
"2023-09-01",""
"2023-10-01",""
"2023-11-01",""
"2023-12-01",""
"2024-01-01",""
"2024-02-01",""
"2024-03-01",""
"2024-04-01","7.39"
"2024-05-01","5.12"
"2024-06-01","6.39"
"2024-07-01","6.05"
"2024-08-01","6.02"
"2024-09-01","5.68"
"2024-10-01","5.94"
"2024-11-01","5.1"
"2024-12-01","5.67"
"2025-01-01","6.2"
"2025-02-01","5.65"
"2025-03-01","6.8"
"2025-04-01","5.34"
"2025-05-01","5.38"
"2025-06-01","5.78"
"2025-07-01","6"
"2025-08-01","5.81"
"2025-09-01","5.96"
"2025-10-01","5.42"
"2025-11-01","5.8"
"2025-12-01","5.76"
"2026-01-01","6.05"
"2026-02-01","5.65"
"2026-03-01","6.79"
"2026-04-01","5.32"
