"Date","Occupancy"
"2023-05-01","54.25"
"2023-06-01","54.94"
"2023-07-01","61.22"
"2023-08-01","63.59"
"2023-09-01","59.84"
"2023-10-01","63.58"
"2023-11-01","64.56"
"2023-12-01","52.5"
"2024-01-01","45.35"
"2024-02-01","54.69"
"2024-03-01","41.28"
"2024-04-01","53.01"
"2024-05-01","50.81"
"2024-06-01","48.01"
"2024-07-01","57.92"
"2024-08-01","59.01"
"2024-09-01","61.88"
"2024-10-01","46.34"
"2024-11-01","62.53"
"2024-12-01","60.66"
"2025-01-01","49.65"
"2025-02-01","71.01"
"2025-03-01","48.57"
"2025-04-01","55.8"
"2025-05-01","39.37"
"2025-06-01","54.15"
"2025-07-01","51.93"
"2025-08-01","56.73"
"2025-09-01","59.23"
"2025-10-01","58.21"
"2025-11-01","62.23"
"2025-12-01","59.7"
"2026-01-01","49.52"
"2026-02-01","63.59"
"2026-03-01","41.69"
"2026-04-01","56.12"
