"Date","Budget","Economy","Midscale","Upscale","Luxury"
"2023-05-01","131","208","222","316","989"
"2023-06-01","129","205","236","356","955"
"2023-07-01","135","201","235","387","739"
"2023-08-01","137","224","262","399","850"
"2023-09-01","134","216","298","387","646"
"2023-10-01","142","204","294","350","692"
"2023-11-01","133","184","260","438","602"
"2023-12-01","152","229","261","417","904"
"2024-01-01","171","256","263","459","850"
"2024-02-01","186","278","339","534","1374"
"2024-03-01","152","234","266","447","1324"
"2024-04-01","155","242","320","600","1224"
"2024-05-01","154","216","246","377","1065"
"2024-06-01","162","224","282","426","1059"
"2024-07-01","157","232","275","452","851"
"2024-08-01","150","215","246","423","933"
"2024-09-01","174","243","282","496","1683"
"2024-10-01","165","206","231","405","813"
"2024-11-01","165","232","240","520","817"
"2024-12-01","181","253","284","496","1163"
"2025-01-01","177","266","290","499","1123"
"2025-02-01","169","268","303","544","1166"
"2025-03-01","181","279","330","600","1184"
"2025-04-01","172","245","332","648","1284"
"2025-05-01","166","251","292","437","908"
"2025-06-01","151","247","264","462","1293"
"2025-07-01","146","239","250","456","1058"
"2025-08-01","143","226","232","458","824"
"2025-09-01","146","227","237","431","1231"
"2025-10-01","153","236","259","385","1102"
"2025-11-01","160","253","311","414","1155"
"2025-12-01","172","258","310","495","868"
"2026-01-01","194","273","322","446","965"
"2026-02-01","223","326","406","523","996"
"2026-03-01","176","259","299","483","808"
"2026-04-01","170","237","299","451","874"
