"Date","Booked Listings","Daily Rate"
"2026-05-14","401","211.85"
"2026-05-15","449","226.63"
"2026-05-16","482","226.63"
"2026-05-17","401","221.71"
"2026-05-18","346","211.85"
"2026-05-19","327","211.85"
"2026-05-20","318","211.85"
"2026-05-21","320","216.78"
"2026-05-22","331","226.63"
"2026-05-23","348","226.63"
"2026-05-24","316","216.78"
"2026-05-25","296","206.93"
"2026-05-26","274","206.93"
"2026-05-27","262","211.85"
"2026-05-28","260","211.85"
"2026-05-29","258","226.63"
"2026-05-30","255","226.63"
"2026-05-31","231","226.63"
"2026-06-01","228","221.71"
"2026-06-02","253","221.71"
"2026-06-03","315","226.63"
"2026-06-04","416","246.34"
"2026-06-05","451","251.27"
"2026-06-06","457","256.19"
"2026-06-07","317","246.34"
"2026-06-08","256","226.63"
"2026-06-09","226","216.78"
"2026-06-10","223","216.78"
"2026-06-11","229","216.78"
"2026-06-12","234","216.78"
"2026-06-13","229","231.56"
"2026-06-14","201","216.78"
"2026-06-15","191","226.63"
"2026-06-16","187","221.71"
"2026-06-17","188","221.71"
"2026-06-18","189","226.63"
"2026-06-19","186","231.56"
"2026-06-20","193","236.49"
"2026-06-21","180","221.71"
"2026-06-22","180","216.78"
"2026-06-23","172","221.71"
"2026-06-24","168","216.78"
"2026-06-25","171","226.63"
"2026-06-26","170","236.49"
"2026-06-27","167","236.49"
"2026-06-28","168","226.63"
"2026-06-29","166","216.78"
"2026-06-30","158","216.78"
"2026-07-01","161","216.78"
"2026-07-02","151","221.71"
"2026-07-03","154","231.56"
"2026-07-04","163","236.49"
"2026-07-05","165","226.63"
"2026-07-06","156","216.78"
"2026-07-07","152","216.78"
"2026-07-08","161","226.63"
"2026-07-09","173","231.56"
"2026-07-10","169","231.56"
"2026-07-11","170","231.56"
"2026-07-12","164","226.63"
"2026-07-13","149","216.78"
"2026-07-14","150","211.85"
"2026-07-15","153","216.78"
"2026-07-16","151","197.07"
"2026-07-17","148","211.85"
"2026-07-18","152","226.63"
"2026-07-19","147","216.78"
"2026-07-20","142","221.71"
"2026-07-21","142","221.71"
"2026-07-22","143","221.71"
"2026-07-23","150","216.78"
"2026-07-24","154","241.41"
"2026-07-25","157","251.27"
"2026-07-26","146","231.56"
"2026-07-27","150","216.78"
"2026-07-28","141","211.85"
"2026-07-29","142","211.85"
"2026-07-30","142","216.78"
"2026-07-31","135","236.49"
"2026-08-01","119","256.19"
"2026-08-02","118","241.41"
"2026-08-03","121","231.56"
"2026-08-04","125","241.41"
"2026-08-05","127","246.34"
"2026-08-06","121","241.41"
"2026-08-07","122","256.19"
"2026-08-08","129","261.12"
"2026-08-09","130","256.19"
"2026-08-10","130","251.27"
"2026-08-11","123","241.41"
"2026-08-12","126","241.41"
"2026-08-13","122","251.27"
"2026-08-14","123","261.12"
"2026-08-15","121","270.97"
"2026-08-16","114","270.97"
"2026-08-17","107","256.19"
"2026-08-18","98","256.19"
"2026-08-19","93","246.34"
"2026-08-20","96","241.41"
"2026-08-21","94","246.34"
"2026-08-22","98","256.19"
"2026-08-23","98","256.19"
"2026-08-24","92","246.34"
"2026-08-25","92","241.41"
"2026-08-26","91","246.34"
"2026-08-27","96","251.27"
"2026-08-28","99","261.12"
"2026-08-29","99","261.12"
"2026-08-30","92","256.19"
"2026-08-31","97","251.27"
"2026-09-01","112","231.56"
"2026-09-02","113","226.63"
"2026-09-03","117","226.63"
"2026-09-04","151","236.49"
"2026-09-05","166","236.49"
"2026-09-06","164","241.41"
"2026-09-07","142","241.41"
"2026-09-08","132","231.56"
"2026-09-09","137","226.63"
"2026-09-10","155","236.49"
"2026-09-11","161","256.19"
"2026-09-12","156","256.19"
"2026-09-13","136","251.27"
"2026-09-14","116","236.49"
"2026-09-15","99","231.56"
"2026-09-16","96","226.63"
"2026-09-17","93","226.63"
"2026-09-18","103","261.12"
"2026-09-19","106","256.19"
"2026-09-20","105","261.12"
"2026-09-21","91","231.56"
"2026-09-22","91","226.63"
"2026-09-23","90","231.56"
"2026-09-24","97","241.41"
"2026-09-25","96","246.34"
"2026-09-26","100","256.19"
"2026-09-27","94","256.19"
"2026-09-28","88","246.34"
"2026-09-29","87","231.56"
"2026-09-30","85","226.63"
"2026-10-01","80","221.71"
"2026-10-02","81","236.49"
"2026-10-03","83","236.49"
"2026-10-04","83","236.49"
"2026-10-05","82","221.71"
"2026-10-06","78","202"
"2026-10-07","74","202"
"2026-10-08","82","231.56"
"2026-10-09","81","236.49"
"2026-10-10","88","236.49"
"2026-10-11","86","236.49"
"2026-10-12","77","216.78"
"2026-10-13","76","202"
"2026-10-14","73","216.78"
"2026-10-15","73","202"
"2026-10-16","81","246.34"
"2026-10-17","84","241.41"
"2026-10-18","76","197.07"
"2026-10-19","75","202"
"2026-10-20","70","192.15"
"2026-10-21","70","192.15"
"2026-10-22","71","192.15"
"2026-10-23","69","197.07"
"2026-10-24","70","197.07"
"2026-10-25","70","192.15"
"2026-10-26","65","206.93"
"2026-10-27","66","202"
"2026-10-28","69","216.78"
"2026-10-29","66","197.07"
"2026-10-30","69","231.56"
"2026-10-31","69","216.78"
