"Date","Revenue"
"2023-05-01","3994.32"
"2023-06-01","3707.29"
"2023-07-01","4245.9"
"2023-08-01","4854"
"2023-09-01","3905.07"
"2023-10-01","4335.8"
"2023-11-01","3972.53"
"2023-12-01","3653.64"
"2024-01-01","3801.47"
"2024-02-01","5226.96"
"2024-03-01","4754.07"
"2024-04-01","4867.11"
"2024-05-01","3645.06"
"2024-06-01","3596.03"
"2024-07-01","4314.5"
"2024-08-01","4296.39"
"2024-09-01","5438.65"
"2024-10-01","4223.89"
"2024-11-01","4422.94"
"2024-12-01","4007.6"
"2025-01-01","4634.61"
"2025-02-01","4476.83"
"2025-03-01","4972.32"
"2025-04-01","4691.06"
"2025-05-01","3096.57"
"2025-06-01","4001.19"
"2025-07-01","4185.88"
"2025-08-01","4010.26"
"2025-09-01","4374.48"
"2025-10-01","4316.84"
"2025-11-01","4735.53"
"2025-12-01","3665.48"
"2026-01-01","4649.66"
"2026-02-01","5568.23"
"2026-03-01","5442.79"
"2026-04-01","4626.02"
