"Date","1 bedroom","2 bedroom","3 bedroom","4 bedroom","5 bedroom","6+ bedroom"
"2023-05-01","3080.66","4522.01","6480.21","4442.02","9194.51","36656.51"
"2023-06-01","2788.91","4310.63","5815.75","10142.55","9611.78","32159.54"
"2023-07-01","3424.01","5523.67","7393.67","16199.63","8750.58","15913.86"
"2023-08-01","3784.79","5867.54","8528.53","15181.76","12262.37","26207.08"
"2023-09-01","3124.98","4401.02","7551.11","9953.61","32300.59","14514.64"
"2023-10-01","3545.14","5455.54","8252.32","8034.93","15468.89","15285.44"
"2023-11-01","3138.29","4785.09","6771.18","6816.11","14086.37","24326.58"
"2023-12-01","2795.81","4761.27","6972.8","6242.6","3969.54","26629.76"
"2024-01-01","2958.04","4828.14","7157.9","3574.16","5460.6","28863.02"
"2024-02-01","3386.28","5342.36","8739.23","6374.64","28212.78","56502.4"
"2024-03-01","3314.06","5117.67","8444.92","6576.52","3294.28","42118.64"
"2024-04-01","3074.1","4975.15","8852.13","6520.39","10225.22","59159.69"
"2024-05-01","2696.55","4624.98","7333.18","10195.75","6531.85","29166.92"
"2024-06-01","2650.9","4085.37","8468.76","7643.18","7084.05","24773.69"
"2024-07-01","3287.56","5221.11","8081.41","7668.49","3864.21","27201.9"
"2024-08-01","3194.51","5392.69","8180.77","10943.99","10252.27","25280.38"
"2024-09-01","3231.02","5470.91","7579.68","10802.19","54637.37","63412"
"2024-10-01","3172.8","5648.69","8919.86","12048.74","11029.98","20471.32"
"2024-11-01","3370.4","5924.48","8307.72","11915.22","9242.25","27121.73"
"2024-12-01","2957.57","5023.35","8721.36","10896.44","7552.16","37325.19"
"2025-01-01","3566.18","5435.06","10607.8","9951.04","3244.39","49906.05"
"2025-02-01","3223.73","5214.78","8709.77","11730.41","11678.67","53157.63"
"2025-03-01","3541.3","5619.03","9353.61","11819.17","32216.12","60410.43"
"2025-04-01","3340.25","4861.45","9540.2","8778.77","45173.9","57317.63"
"2025-05-01","2567.26","3484.18","6180.73","5542.77","13280.7","25385.52"
"2025-06-01","2992.99","4118.23","8177.53","10232.44","3762.48","53421.6"
"2025-07-01","3299.39","5101.85","7364.08","16345.2","9732.36","33285.46"
"2025-08-01","3207.92","5337.66","5450.81","13494.7","3127.12","28400.11"
"2025-09-01","3283.01","5007.48","6840.15","12882.36","8687.49","38011.95"
"2025-10-01","3351.75","5507.87","9095.42","12870.42","4295.23","37876.99"
"2025-11-01","3490.47","8271.64","8449.04","11787.12","20051.29","28806.13"
"2025-12-01","3003.43","4953.28","7351.49","8065.28","4574.94","24907.8"
"2026-01-01","3774.69","6049.44","7765.93","12863.85","6496.06","43842.82"
"2026-02-01","4337.37","7005.68","9437.87","18039.22","21415.76","66560.56"
"2026-03-01","4275.03","6649.49","11692.98","17062.17","12207.07","44417.47"
"2026-04-01","3563.45","5522.15","10410.13","20011.16","10741.88","39961.19"
