"Date","Unique","B&B","Apartment","House"
"2023-05-01","","24178.08","994547.76","559029.43"
"2023-06-01","23312.66","41718.41","919738.87","635315.74"
"2023-07-01","6195.53","56965.24","1044614.07","641534.93"
"2023-08-01","9725.16","77851.11","1183857.23","815786.69"
"2023-09-01","9051.7","59210.75","1090909.6","750405.18"
"2023-10-01","11477.97","85587.35","1367574.63","750955.89"
"2023-11-01","20125.47","108198.08","1589838.82","951376.79"
"2023-12-01","57044.98","96831.28","1764893.18","1194132.31"
"2024-01-01","29633.9","85030.27","1766954.52","1186168.08"
"2024-02-01","262885.27","115866.88","2323928.09","2555641.96"
"2024-03-01","8908.59","46891.25","1371717.75","1310826.58"
"2024-04-01","18858.58","31920.11","1206047.11","1405485.57"
"2024-05-01","15050.99","39627.59","1252241.08","927502.3"
"2024-06-01","16720.29","35243.69","1076187.26","831685.83"
"2024-07-01","26037.44","57604.9","1229681.76","960415.78"
"2024-08-01","40495.1","27848.95","1217925.27","982224.17"
"2024-09-01","43084.78","61567.4","1857209.92","2345545.44"
"2024-10-01","29443.42","53159.85","1331404.67","989384.94"
"2024-11-01","108629.05","92623.67","1749032.57","1318267.01"
"2024-12-01","32792.12","112793.52","2278982.55","1767378.42"
"2025-01-01","74768.29","137461.09","2648480.27","1885131.64"
"2025-02-01","114276.63","139805.18","2599171.53","2330913.53"
"2025-03-01","108321.87","195666.54","3487478.21","2990782.23"
"2025-04-01","93642.01","210610.65","2495066.09","1971491.34"
"2025-05-01","29982.45","76200.65","2279154.73","1243839.68"
"2025-06-01","36295.93","66133.22","1796790.05","1269720.1"
"2025-07-01","38284.71","54053.25","1774969.84","1079553.21"
"2025-08-01","27469","60409.11","1808422.49","942960.03"
"2025-09-01","63954.57","32415.91","1869191.87","1122817.71"
"2025-10-01","5756.04","44723.79","2121112.24","1027186.34"
"2025-11-01","79996.86","30151.12","2763165.44","1317628.13"
"2025-12-01","50602.27","50077.02","3185311.27","1926324.67"
"2026-01-01","109052.53","44378.1","4309078.54","2409690.52"
"2026-02-01","89757.95","75373.3","6049279.96","3563401.7"
"2026-03-01","27431.25","18880.97","3484771.18","1879046.1"
"2026-04-01","19785.83","26637.46","2949831.81","1574257.06"
