"Date","RevPAR"
"2024-04-01","145.67"
"2024-04-02","134.99"
"2024-04-03","127.13"
"2024-04-04","135.96"
"2024-04-05","153.89"
"2024-04-06","187.05"
"2024-04-07","149.13"
"2024-04-08","139.84"
"2024-04-09","174.03"
"2024-04-10","173.49"
"2024-04-11","167.78"
"2024-04-12","203.97"
"2024-04-13","211.67"
"2024-04-14","180.25"
"2024-04-15","146.3"
"2024-04-16","173.27"
"2024-04-17","180.78"
"2024-04-18","178.58"
"2024-04-19","214.9"
"2024-04-20","219.9"
"2024-04-21","163.9"
"2024-04-22","135.94"
"2024-04-23","149.82"
"2024-04-24","147.83"
"2024-04-25","156.86"
"2024-04-26","162.42"
"2024-04-27","189.33"
"2024-04-28","181.72"
"2024-04-29","142.35"
"2024-04-30","140.3"
"2024-05-01","160.64"
"2024-05-02","163.8"
"2024-05-03","223.47"
"2024-05-04","217.52"
"2024-05-05","136.37"
"2024-05-06","107.5"
"2024-05-07","94.21"
"2024-05-08","85.26"
"2024-05-09","103.07"
"2024-05-10","103.09"
"2024-05-11","105.86"
"2024-05-12","92.47"
"2024-05-13","87.06"
"2024-05-14","87.42"
"2024-05-15","106.4"
"2024-05-16","130.69"
"2024-05-17","133.73"
"2024-05-18","150.79"
"2024-05-19","121.58"
"2024-05-20","94.59"
"2024-05-21","85.79"
"2024-05-22","82"
"2024-05-23","106.81"
"2024-05-24","137.81"
"2024-05-25","149.19"
"2024-05-26","137.72"
"2024-05-27","88.85"
"2024-05-28","91.72"
"2024-05-29","123.61"
"2024-05-30","184.7"
"2024-05-31","200.26"
"2024-06-01","222.89"
"2024-06-02","139.34"
"2024-06-03","107.73"
"2024-06-04","93.79"
"2024-06-05","114.25"
"2024-06-06","115.51"
"2024-06-07","157.97"
"2024-06-08","166.01"
"2024-06-09","142.2"
"2024-06-10","101.91"
"2024-06-11","91.46"
"2024-06-12","126.57"
"2024-06-13","146.56"
"2024-06-14","144.61"
"2024-06-15","161.29"
"2024-06-16","115.56"
"2024-06-17","104.64"
"2024-06-18","90.11"
"2024-06-19","94.63"
"2024-06-20","124.26"
"2024-06-21","141.73"
"2024-06-22","157.66"
"2024-06-23","105"
"2024-06-24","85.17"
"2024-06-25","84.49"
"2024-06-26","81.52"
"2024-06-27","105.51"
"2024-06-28","139.85"
"2024-06-29","179.03"
"2024-06-30","123.66"
"2024-07-01","112.91"
"2024-07-02","111.67"
"2024-07-03","112.15"
"2024-07-04","137.32"
"2024-07-05","156.73"
"2024-07-06","203.59"
"2024-07-07","190.25"
"2024-07-08","174.04"
"2024-07-09","167.33"
"2024-07-10","170.78"
"2024-07-11","189.33"
"2024-07-12","190.05"
"2024-07-13","162.95"
"2024-07-14","139.53"
"2024-07-15","134.03"
"2024-07-16","128.67"
"2024-07-17","137.12"
"2024-07-18","150.75"
"2024-07-19","160.68"
"2024-07-20","222.14"
"2024-07-21","199.4"
"2024-07-22","148.05"
"2024-07-23","134.39"
"2024-07-24","132.8"
"2024-07-25","120.09"
"2024-07-26","143.26"
"2024-07-27","153.64"
"2024-07-28","146.36"
"2024-07-29","129.83"
"2024-07-30","100.13"
"2024-07-31","99.39"
"2024-08-01","114.08"
"2024-08-02","117.83"
"2024-08-03","141.94"
"2024-08-04","130.53"
"2024-08-05","119.96"
"2024-08-06","107.62"
"2024-08-07","107.33"
"2024-08-08","129"
"2024-08-09","178.09"
"2024-08-10","192.71"
"2024-08-11","162.55"
"2024-08-12","151.55"
"2024-08-13","151.94"
"2024-08-14","135.89"
"2024-08-15","174.62"
"2024-08-16","187.26"
"2024-08-17","201.1"
"2024-08-18","169.49"
"2024-08-19","142"
"2024-08-20","131.17"
"2024-08-21","111.41"
"2024-08-22","125.82"
"2024-08-23","175.62"
"2024-08-24","191.03"
"2024-08-25","165.31"
"2024-08-26","120.99"
