"Date","1 bedroom","2 bedroom","3 bedroom","4 bedroom","5 bedroom","6+ bedroom"
"2023-05-01","8","1","1","0","0","0"
"2023-06-01","4","1","0","0","0","0"
"2023-07-01","6","1","0","0","0","0"
"2023-08-01","6","0","0","0","0","0"
"2023-09-01","5","0","0","0","0","0"
"2023-10-01","5","1","0","0","0","0"
"2023-11-01","8","2","0","0","0","0"
"2023-12-01","13","5","0","0","0","0"
"2024-01-01","13","5","0","0","0","0"
"2024-02-01","15","6","0","0","0","0"
"2024-03-01","20","6","0","0","0","0"
"2024-04-01","14","6","0","0","0","0"
"2024-05-01","15","4","0","0","0","0"
"2024-06-01","22","2","0","0","0","0"
"2024-07-01","18","2","0","0","0","0"
"2024-08-01","19","3","0","0","0","0"
"2024-09-01","22","4","0","0","0","0"
"2024-10-01","24","4","0","0","0","0"
"2024-11-01","31","5","0","0","0","0"
"2024-12-01","54","10","0","0","0","0"
"2025-01-01","55","13","0","0","0","0"
"2025-02-01","67","28","0","1","0","0"
"2025-03-01","81","34","2","1","0","0"
"2025-04-01","71","42","1","1","0","0"
"2025-05-01","76","48","1","1","0","0"
"2025-06-01","78","42","0","1","0","0"
"2025-07-01","82","49","0","1","0","0"
"2025-08-01","79","56","0","1","0","0"
"2025-09-01","87","65","0","1","0","0"
"2025-10-01","91","76","0","1","0","0"
"2025-11-01","108","90","0","1","0","0"
"2025-12-01","167","122","1","1","0","1"
"2026-01-01","206","145","2","0","0","1"
"2026-02-01","263","168","7","0","0","1"
"2026-03-01","268","168","8","0","0","1"
"2026-04-01","247","152","5","0","0","1"
