"Date","Listing Days Booked","Booked Listings"
"2023-05-01","43","4"
"2023-06-01","41","3"
"2023-07-01","68","6"
"2023-08-01","71","5"
"2023-09-01","71","5"
"2023-10-01","76","5"
"2023-11-01","112","10"
"2023-12-01","134","18"
"2024-01-01","97","16"
"2024-02-01","207","20"
"2024-03-01","269","20"
"2024-04-01","231","18"
"2024-05-01","169","15"
"2024-06-01","197","19"
"2024-07-01","327","16"
"2024-08-01","318","20"
"2024-09-01","382","24"
"2024-10-01","337","26"
"2024-11-01","529","36"
"2024-12-01","465","64"
"2025-01-01","747","63"
"2025-02-01","895","92"
"2025-03-01","1226","116"
"2025-04-01","1225","106"
"2025-05-01","1273","119"
"2025-06-01","1394","112"
"2025-07-01","1693","122"
"2025-08-01","1866","131"
"2025-09-01","2140","147"
"2025-10-01","2348","152"
"2025-11-01","2913","191"
"2025-12-01","3295","282"
"2026-01-01","5708","343"
"2026-02-01","6153","435"
"2026-03-01","5373","347"
"2026-04-01","5437","384"
