"Date","Length of Stay"
"2023-05-01",""
"2023-06-01",""
"2023-07-01",""
"2023-08-01",""
"2023-09-01",""
"2023-10-01",""
"2023-11-01",""
"2023-12-01",""
"2024-01-01",""
"2024-02-01",""
"2024-03-01",""
"2024-04-01","5.74"
"2024-05-01","2.48"
"2024-06-01","2.46"
"2024-07-01","3.4"
"2024-08-01","2.93"
"2024-09-01","3.86"
"2024-10-01","3.42"
"2024-11-01","2.48"
"2024-12-01","2.57"
"2025-01-01","3.48"
"2025-02-01","4.15"
"2025-03-01","3.59"
"2025-04-01","3.43"
"2025-05-01","4.09"
"2025-06-01","4.16"
"2025-07-01","3.62"
"2025-08-01","3.77"
"2025-09-01","3.89"
"2025-10-01","3.18"
"2025-11-01","3.54"
"2025-12-01","4.15"
"2026-01-01","3.92"
"2026-02-01","4.21"
"2026-03-01","4.11"
"2026-04-01","4.11"
