"Date","1 bedroom","2 bedroom","3 bedroom","4 bedroom","5 bedroom","6+ bedroom"
"2023-05-01","236.41","151.57","0","0","0","0"
"2023-06-01","429.45","136.62","0","0","0","0"
"2023-07-01","238.23","0","0","0","0","0"
"2023-08-01","149.47","0","0","0","0","0"
"2023-09-01","193.84","0","0","0","0","0"
"2023-10-01","273.55","178.42","0","0","0","0"
"2023-11-01","203.02","228.53","0","0","0","0"
"2023-12-01","161.55","320.53","0","0","0","0"
"2024-01-01","153.47","332.31","0","0","0","0"
"2024-02-01","198.03","260.54","0","0","0","0"
"2024-03-01","191.8","212.08","0","0","0","0"
"2024-04-01","214.82","206.7","0","0","0","0"
"2024-05-01","205.78","391.48","0","0","0","0"
"2024-06-01","177.4","402.62","0","0","0","0"
"2024-07-01","156.93","252.7","0","0","0","0"
"2024-08-01","134.95","217.42","0","0","0","0"
"2024-09-01","176.08","230.03","0","0","0","0"
"2024-10-01","147.48","196.63","0","0","0","0"
"2024-11-01","137.15","208.59","0","0","0","0"
"2024-12-01","194.54","289.04","0","0","0","0"
"2025-01-01","200.11","356.69","0","0","0","0"
"2025-02-01","207.01","452.01","0","79.87","0","0"
"2025-03-01","245.56","403.75","265.26","78.21","0","0"
"2025-04-01","248.57","447.13","306.08","76.08","0","0"
"2025-05-01","232.34","366.09","295.51","111.22","0","0"
"2025-06-01","248.77","342.62","0","113.25","0","0"
"2025-07-01","190.55","318.25","0","122.28","0","0"
"2025-08-01","182.98","305.32","0","140.42","0","0"
"2025-09-01","199.3","287.53","0","205.07","0","0"
"2025-10-01","227.89","294.74","0","212.58","0","0"
"2025-11-01","238.15","332.4","0","93.58","0","0"
"2025-12-01","307.23","396.17","292.4","0","0","548.71"
"2026-01-01","276.12","413.42","791.45","0","0","389.82"
"2026-02-01","367.06","479.09","951.23","0","0","837.34"
"2026-03-01","265.11","360.37","402.18","0","0","0"
"2026-04-01","260.71","350.52","455.19","0","0","2032.52"
