"Date","Daily Rate"
"2023-05-01","225"
"2023-06-01","322"
"2023-07-01","238"
"2023-08-01","149"
"2023-09-01","194"
"2023-10-01","259"
"2023-11-01","206"
"2023-12-01","188"
"2024-01-01","233"
"2024-02-01","223"
"2024-03-01","200"
"2024-04-01","211"
"2024-05-01","224"
"2024-06-01","182"
"2024-07-01","169"
"2024-08-01","151"
"2024-09-01","188"
"2024-10-01","156"
"2024-11-01","145"
"2024-12-01","207"
"2025-01-01","244"
"2025-02-01","279"
"2025-03-01","294"
"2025-04-01","326"
"2025-05-01","283"
"2025-06-01","285"
"2025-07-01","247"
"2025-08-01","232"
"2025-09-01","237"
"2025-10-01","258"
"2025-11-01","281"
"2025-12-01","349"
"2026-01-01","337"
"2026-02-01","417"
"2026-03-01","305"
"2026-04-01","298"
