"Date","Budget","Economy","Midscale","Upscale","Luxury"
"2023-05-01","154","0","0","0","258"
"2023-06-01","137","0","0","0","467"
"2023-07-01","118","174","0","0","483"
"2023-08-01","108","153","0","0","491"
"2023-09-01","123","153","0","0","468"
"2023-10-01","159","157","0","0","476"
"2023-11-01","152","128","418","0","470"
"2023-12-01","153","258","304","0","0"
"2024-01-01","181","331","303","0","0"
"2024-02-01","193","362","210","289","0"
"2024-03-01","144","227","255","288","488"
"2024-04-01","131","350","370","278","496"
"2024-05-01","136","335","214","0","512"
"2024-06-01","129","163","0","0","539"
"2024-07-01","124","252","0","0","546"
"2024-08-01","134","309","0","0","560"
"2024-09-01","168","326","0","0","583"
"2024-10-01","136","244","0","0","588"
"2024-11-01","137","167","0","211","0"
"2024-12-01","188","237","303","318","0"
"2025-01-01","183","302","355","445","555"
"2025-02-01","172","306","676","556","720"
"2025-03-01","202","313","439","465","695"
"2025-04-01","208","363","482","608","958"
"2025-05-01","215","313","366","433","944"
"2025-06-01","211","310","329","380","929"
"2025-07-01","183","275","310","534","1268"
"2025-08-01","181","238","284","473","1216"
"2025-09-01","190","239","283","336","1469"
"2025-10-01","207","255","283","434","1481"
"2025-11-01","220","274","323","488","884"
"2025-12-01","257","319","447","485","762"
"2026-01-01","280","328","383","394","596"
"2026-02-01","319","396","452","492","707"
"2026-03-01","240","302","318","339","514"
"2026-04-01","235","291","312","317","543"
