"Date","Booked Listings","Daily Rate"
"2026-05-14","161","261.12"
"2026-05-15","172","285.75"
"2026-05-16","174","290.68"
"2026-05-17","144","275.9"
"2026-05-18","116","256.19"
"2026-05-19","118","256.19"
"2026-05-20","114","266.05"
"2026-05-21","112","266.05"
"2026-05-22","112","285.75"
"2026-05-23","130","300.53"
"2026-05-24","94","275.9"
"2026-05-25","79","270.97"
"2026-05-26","74","251.27"
"2026-05-27","73","246.34"
"2026-05-28","71","270.97"
"2026-05-29","81","285.75"
"2026-05-30","85","295.61"
"2026-05-31","79","270.97"
"2026-06-01","68","261.12"
"2026-06-02","72","261.12"
"2026-06-03","91","261.12"
"2026-06-04","130","315.32"
"2026-06-05","148","330.1"
"2026-06-06","150","330.1"
"2026-06-07","105","295.61"
"2026-06-08","78","275.9"
"2026-06-09","66","266.05"
"2026-06-10","56","246.34"
"2026-06-11","53","275.9"
"2026-06-12","57","295.61"
"2026-06-13","60","290.68"
"2026-06-14","54","275.9"
"2026-06-15","45","285.75"
"2026-06-16","45","290.68"
"2026-06-17","49","290.68"
"2026-06-18","44","290.68"
"2026-06-19","50","300.53"
"2026-06-20","50","295.61"
"2026-06-21","45","261.12"
"2026-06-22","48","251.27"
"2026-06-23","47","246.34"
"2026-06-24","44","256.19"
"2026-06-25","46","275.9"
"2026-06-26","46","295.61"
"2026-06-27","46","295.61"
"2026-06-28","40","275.9"
"2026-06-29","41","270.97"
"2026-06-30","37","280.83"
"2026-07-01","34","285.75"
"2026-07-02","32","280.83"
"2026-07-03","36","285.75"
"2026-07-04","37","285.75"
"2026-07-05","34","275.9"
"2026-07-06","34","280.83"
"2026-07-07","38","300.53"
"2026-07-08","38","285.75"
"2026-07-09","35","280.83"
"2026-07-10","36","315.32"
"2026-07-11","38","315.32"
"2026-07-12","34","305.46"
"2026-07-13","36","300.53"
"2026-07-14","38","300.53"
"2026-07-15","37","295.61"
"2026-07-16","34","285.75"
"2026-07-17","36","305.46"
"2026-07-18","37","295.61"
"2026-07-19","39","280.83"
"2026-07-20","31","285.75"
"2026-07-21","34","300.53"
"2026-07-22","34","290.68"
"2026-07-23","32","280.83"
"2026-07-24","32","295.61"
"2026-07-25","32","290.68"
"2026-07-26","34","270.97"
"2026-07-27","37","280.83"
"2026-07-28","34","290.68"
"2026-07-29","35","285.75"
"2026-07-30","28","295.61"
"2026-07-31","28","330.1"
"2026-08-01","29","295.61"
"2026-08-02","27","261.12"
"2026-08-03","30","280.83"
"2026-08-04","32","270.97"
"2026-08-05","29","270.97"
"2026-08-06","27","256.19"
"2026-08-07","30","305.46"
"2026-08-08","31","330.1"
"2026-08-09","27","305.46"
"2026-08-10","28","295.61"
"2026-08-11","29","310.39"
"2026-08-12","29","310.39"
"2026-08-13","25","305.46"
"2026-08-14","24","335.02"
"2026-08-15","23","335.02"
"2026-08-16","22","300.53"
"2026-08-17","21","290.68"
"2026-08-18","22","280.83"
"2026-08-19","22","280.83"
"2026-08-20","21","256.19"
"2026-08-21","20","285.75"
"2026-08-22","22","285.75"
"2026-08-23","21","300.53"
"2026-08-24","21","300.53"
"2026-08-25","21","305.46"
"2026-08-26","21","349.8"
"2026-08-27","19","295.61"
"2026-08-28","18","374.44"
"2026-08-29","16","374.44"
"2026-08-30","17","330.1"
"2026-08-31","17","379.36"
"2026-09-01","23","305.46"
"2026-09-02","24","300.53"
"2026-09-03","26","315.32"
"2026-09-04","42","330.1"
"2026-09-05","56","335.02"
"2026-09-06","57","310.39"
"2026-09-07","45","320.24"
"2026-09-08","40","275.9"
"2026-09-09","44","270.97"
"2026-09-10","66","280.83"
"2026-09-11","75","320.24"
"2026-09-12","75","320.24"
"2026-09-13","50","300.53"
"2026-09-14","36","295.61"
"2026-09-15","27","305.46"
"2026-09-16","23","305.46"
"2026-09-17","18","295.61"
"2026-09-18","18","335.02"
"2026-09-19","18","325.17"
"2026-09-20","16","300.53"
"2026-09-21","18","300.53"
"2026-09-22","21","305.46"
"2026-09-23","22","320.24"
"2026-09-24","19","300.53"
"2026-09-25","20","339.95"
"2026-09-26","19","339.95"
"2026-09-27","18","300.53"
"2026-09-28","18","320.24"
"2026-09-29","17","305.46"
"2026-09-30","16","305.46"
"2026-10-01","16","275.9"
"2026-10-02","16","379.36"
"2026-10-03","16","379.36"
"2026-10-04","16","280.83"
"2026-10-05","17","295.61"
"2026-10-06","18","305.46"
"2026-10-07","20","305.46"
"2026-10-08","18","280.83"
"2026-10-09","18","295.61"
"2026-10-10","17","290.68"
"2026-10-11","16","236.49"
"2026-10-12","14","285.75"
"2026-10-13","17","295.61"
"2026-10-14","18","280.83"
"2026-10-15","18","275.9"
"2026-10-16","17","344.88"
"2026-10-17","15","379.36"
"2026-10-18","16","339.95"
"2026-10-19","19","335.02"
"2026-10-20","20","335.02"
"2026-10-21","20","344.88"
"2026-10-22","19","300.53"
"2026-10-23","19","339.95"
"2026-10-24","19","339.95"
"2026-10-25","14","290.68"
"2026-10-26","14","300.53"
"2026-10-27","15","315.32"
"2026-10-28","17","349.8"
"2026-10-29","16","310.39"
"2026-10-30","12","364.58"
"2026-10-31","13","339.95"
