"Date","Revenue"
"2023-05-01","2414.14"
"2023-06-01","4405"
"2023-07-01","2699.94"
"2023-08-01","2122.49"
"2023-09-01","2752.49"
"2023-10-01","3929.68"
"2023-11-01","2312.07"
"2023-12-01","1396.93"
"2024-01-01","1411.05"
"2024-02-01","2312.12"
"2024-03-01","2693.31"
"2024-04-01","2710.42"
"2024-05-01","2528.87"
"2024-06-01","1886.75"
"2024-07-01","3458.65"
"2024-08-01","2401.4"
"2024-09-01","2991.45"
"2024-10-01","2023.08"
"2024-11-01","2130.38"
"2024-12-01","1503.52"
"2025-01-01","2897.17"
"2025-02-01","2716.12"
"2025-03-01","3110.7"
"2025-04-01","3767.72"
"2025-05-01","3030.7"
"2025-06-01","3545.13"
"2025-07-01","3424.7"
"2025-08-01","3300.08"
"2025-09-01","3448.04"
"2025-10-01","3984.86"
"2025-11-01","4289.57"
"2025-12-01","4074.52"
"2026-01-01","5608.54"
"2026-02-01","5900.46"
"2026-03-01","4726.38"
"2026-04-01","4224.97"
