"Date","1 bedroom","2 bedroom","3 bedroom","4 bedroom","5 bedroom","6+ bedroom"
"2023-05-01","2915.7","909.43","","","",""
"2023-06-01","5582.82","2049.36","","","",""
"2023-07-01","2699.95","","","","",""
"2023-08-01","2122.49","","","","",""
"2023-09-01","2752.49","","","","",""
"2023-10-01","4376.83","2141.07","","","",""
"2023-11-01","2461.59","1714","","","",""
"2023-12-01","1391.8","1410.32","","","",""
"2024-01-01","753.42","2857.85","","","",""
"2024-02-01","1739.82","3647.51","","","",""
"2024-03-01","2007.56","4750.58","","","",""
"2024-04-01","2115.15","4258.09","","","",""
"2024-05-01","2406","3327.55","","","",""
"2024-06-01","1902.1","1610.5","","","",""
"2024-07-01","3194.67","5306.65","","","",""
"2024-08-01","2032.22","4493.36","","","",""
"2024-09-01","2623.63","4830.56","","","",""
"2024-10-01","1782.55","3866.99","","","",""
"2024-11-01","2083.71","2419.65","","","",""
"2024-12-01","1455.43","1763.17","","","",""
"2025-01-01","2145.21","5789.33","","","",""
"2025-02-01","1994.54","4390.97","","1277.85","",""
"2025-03-01","2391.09","5016.26","795.77","2424.64","",""
"2025-04-01","2703.19","5600.33","306.08","2054.25","",""
"2025-05-01","2368.53","4149.07","295.51","3114.17","",""
"2025-06-01","2827.56","4848.03","","2378.33","",""
"2025-07-01","2424.98","4985.91","","1467.36","",""
"2025-08-01","2587.52","4391.85","","2106.35","",""
"2025-09-01","2888.62","4148.62","","5742.03","",""
"2025-10-01","3476.03","4598.89","","4464.2","",""
"2025-11-01","3709.03","4993.42","","280.75","",""
"2025-12-01","3341.54","5133.44","292.4","","","1646.13"
"2026-01-01","4469.76","7203.32","3957.25","","","1949.09"
"2026-02-01","5120.54","7088.83","6522.73","","","5861.38"
"2026-03-01","3976.63","5862.8","5831.67","","",""
"2026-04-01","3674.46","5019.32","6736.77","","","6097.55"
