"Date","Unique","B&B","Apartment","House"
"2023-05-01","","","9656.56",""
"2023-06-01","","","13215",""
"2023-07-01","","","16199.63",""
"2023-08-01","","","10612.43",""
"2023-09-01","","","13762.47",""
"2023-10-01","","","19648.38",""
"2023-11-01","","","22284.37","836.33"
"2023-12-01","","488.87","18453.69","6202.26"
"2024-01-01","","1157.54","11614.27","9805.01"
"2024-02-01","","","28490.47","17751.83"
"2024-03-01","","","40021.2","13845.04"
"2024-04-01","","","33548.26","15239.31"
"2024-05-01","","","31550.07","6382.93"
"2024-06-01","","","34237.8","1610.5"
"2024-07-01","","","49154.58","6183.82"
"2024-08-01","","","42815.84","5212.08"
"2024-09-01","","","61189.86","10604.96"
"2024-10-01","","","48846.23","3753.92"
"2024-11-01","","788.39","71551.75","4353.51"
"2024-12-01","","495.48","92472.92","3256.85"
"2025-01-01","","","172051.87","10469.85"
"2025-02-01","","216.78","243625.09","6041.28"
"2025-03-01","","528.6","349608.51","10704.06"
"2025-04-01","","","395245.93","4132.04"
"2025-05-01","","","357050.26","3602.89"
"2025-06-01","","","386476.57","10577.77"
"2025-07-01","","","411115.97","6697.6"
"2025-08-01","","","425742.46","6567.5"
"2025-09-01","","","498456.48","8405.7"
"2025-10-01","","","601827.95","3870.07"
"2025-11-01","","","815197.82","4110.55"
"2025-12-01","","","1136875.13","12140.21"
"2026-01-01","","","1903237.88","20489.63"
"2026-02-01","","","2556642.84","10057.78"
"2026-03-01","","","1627873.7","12180.41"
"2026-04-01","","","1610412.9","11975.37"
