"Date","1 bedroom","2 bedroom","3 bedroom","4 bedroom","5 bedroom","6+ bedroom"
"2023-05-01","7","2","0","1","0","0"
"2023-06-01","6","2","0","1","0","0"
"2023-07-01","8","2","0","1","0","0"
"2023-08-01","8","2","0","1","0","0"
"2023-09-01","9","2","0","1","0","0"
"2023-10-01","9","2","0","1","0","0"
"2023-11-01","10","4","0","1","0","0"
"2023-12-01","17","5","0","1","0","0"
"2024-01-01","16","5","0","1","0","0"
"2024-02-01","17","6","0","1","0","0"
"2024-03-01","18","6","0","1","0","0"
"2024-04-01","9","2","0","1","0","0"
"2024-05-01","4","2","0","1","0","0"
"2024-06-01","4","2","0","1","0","0"
"2024-07-01","5","2","0","1","0","0"
"2024-08-01","5","2","0","1","0","0"
"2024-09-01","14","2","0","1","0","0"
"2024-10-01","16","2","0","1","0","0"
"2024-11-01","13","2","0","1","0","0"
"2024-12-01","23","3","0","1","0","0"
"2025-01-01","23","4","0","1","0","0"
"2025-02-01","25","8","1","1","0","0"
"2025-03-01","25","8","1","1","0","0"
"2025-04-01","27","7","3","1","0","0"
"2025-05-01","28","6","2","1","0","0"
"2025-06-01","15","4","2","1","0","0"
"2025-07-01","12","4","2","1","0","0"
"2025-08-01","14","3","2","1","0","0"
"2025-09-01","18","4","2","1","0","0"
"2025-10-01","17","3","2","1","0","0"
"2025-11-01","16","2","2","1","0","0"
"2025-12-01","27","5","2","1","0","0"
"2026-01-01","30","7","2","1","0","0"
"2026-02-01","46","8","2","1","0","0"
"2026-03-01","44","7","2","1","0","0"
"2026-04-01","30","5","2","1","0","0"
