"Date","Listing Days Booked","Booked Listings"
"2023-05-01","158","9"
"2023-06-01","158","9"
"2023-07-01","192","11"
"2023-08-01","169","9"
"2023-09-01","142","11"
"2023-10-01","197","11"
"2023-11-01","247","14"
"2023-12-01","326","21"
"2024-01-01","254","18"
"2024-02-01","279","24"
"2024-03-01","188","11"
"2024-04-01","115","8"
"2024-05-01","67","6"
"2024-06-01","125","6"
"2024-07-01","121","8"
"2024-08-01","120","6"
"2024-09-01","173","16"
"2024-10-01","164","12"
"2024-11-01","200","14"
"2024-12-01","270","27"
"2025-01-01","405","28"
"2025-02-01","314","32"
"2025-03-01","390","35"
"2025-04-01","294","32"
"2025-05-01","277","35"
"2025-06-01","257","18"
"2025-07-01","186","11"
"2025-08-01","248","20"
"2025-09-01","266","20"
"2025-10-01","244","19"
"2025-11-01","235","18"
"2025-12-01","326","33"
"2026-01-01","522","39"
"2026-02-01","663","56"
"2026-03-01","373","23"
"2026-04-01","419","36"
