"Date","Length of Stay"
"2023-05-01",""
"2023-06-01",""
"2023-07-01",""
"2023-08-01",""
"2023-09-01",""
"2023-10-01",""
"2023-11-01",""
"2023-12-01",""
"2024-01-01",""
"2024-02-01",""
"2024-03-01",""
"2024-04-01","5.26"
"2024-05-01","4"
"2024-06-01","6.95"
"2024-07-01","4.71"
"2024-08-01","5"
"2024-09-01","4.05"
"2024-10-01","6.4"
"2024-11-01","6.85"
"2024-12-01","8.25"
"2025-01-01","7.74"
"2025-02-01","5.98"
"2025-03-01","7.64"
"2025-04-01","3.72"
"2025-05-01","5.08"
"2025-06-01","8.37"
"2025-07-01","4.89"
"2025-08-01","6.04"
"2025-09-01","5.33"
"2025-10-01","3.23"
"2025-11-01","3.39"
"2025-12-01","5.83"
"2026-01-01","5.95"
"2026-02-01","4.78"
"2026-03-01","5.1"
"2026-04-01","4.42"
