"Date","Occupancy"
"2023-05-01","55.44"
"2023-06-01","60.31"
"2023-07-01","62.95"
"2023-08-01","54.87"
"2023-09-01","50.53"
"2023-10-01","60.99"
"2023-11-01","63.99"
"2023-12-01","66.8"
"2024-01-01","41.03"
"2024-02-01","49.56"
"2024-03-01","38.84"
"2024-04-01","36.16"
"2024-05-01","33.33"
"2024-06-01","66.49"
"2024-07-01","52.84"
"2024-08-01","61.86"
"2024-09-01","53.23"
"2024-10-01","37.79"
"2024-11-01","55.4"
"2024-12-01","53.68"
"2025-01-01","50.06"
"2025-02-01","55.09"
"2025-03-01","37.46"
"2025-04-01","45.16"
"2025-05-01","27"
"2025-06-01","53.32"
"2025-07-01","36.76"
"2025-08-01","48.34"
"2025-09-01","41.76"
"2025-10-01","41.01"
"2025-11-01","48.65"
"2025-12-01","50"
"2026-01-01","48.2"
"2026-02-01","56.09"
"2026-03-01","29.03"
"2026-04-01","50.3"
