"Date","1 bedroom","2 bedroom","3 bedroom","4 bedroom","5 bedroom","6+ bedroom"
"2023-05-01","112.21","112.12","0","329.34","0","0"
"2023-06-01","120.99","106.29","0","352.14","0","0"
"2023-07-01","122.15","142.28","0","319.3","0","0"
"2023-08-01","133.63","151.99","0","316.93","0","0"
"2023-09-01","161.38","169.94","0","306.1","0","0"
"2023-10-01","180.44","164.24","0","309.5","0","0"
"2023-11-01","152.11","119.92","0","275.05","0","0"
"2023-12-01","159.2","144.41","0","461.71","0","0"
"2024-01-01","174.31","189.39","0","422.65","0","0"
"2024-02-01","205.39","175.79","0","490.03","0","0"
"2024-03-01","269.53","170.31","0","367.24","0","0"
"2024-04-01","351.17","134.05","0","433.1","0","0"
"2024-05-01","220.38","162.88","0","436.95","0","0"
"2024-06-01","150.71","191.24","0","464.96","0","0"
"2024-07-01","301.19","173.3","0","435.32","0","0"
"2024-08-01","454.67","173.11","0","439.83","0","0"
"2024-09-01","248.82","228.41","0","628.48","0","0"
"2024-10-01","190.31","161.35","0","427.58","0","0"
"2024-11-01","150.76","222.89","0","624.85","0","0"
"2024-12-01","223.65","321.32","0","882.19","0","0"
"2025-01-01","215.79","337.31","0","899.74","0","0"
"2025-02-01","217.07","267.53","383.64","650.34","0","0"
"2025-03-01","228.35","421.76","313.55","951.09","0","0"
"2025-04-01","249.98","504.71","334.47","476.77","0","0"
"2025-05-01","231.39","284.14","291.15","612.32","0","0"
"2025-06-01","117.11","217.89","273.41","501.33","0","0"
"2025-07-01","110.09","196.25","269.08","401.11","0","0"
"2025-08-01","120.2","195.11","346.74","453.68","0","0"
"2025-09-01","188.21","220.54","309.03","422.01","0","0"
"2025-10-01","233.36","216.94","352.26","398.51","0","0"
"2025-11-01","223.13","249.29","336.02","416.35","0","0"
"2025-12-01","217.02","348.36","434.13","467.58","0","0"
"2026-01-01","212.94","293.43","557.2","800.74","0","0"
"2026-02-01","246.26","333.33","751.22","747.68","0","0"
"2026-03-01","317.78","332.91","398.73","398.2","0","0"
"2026-04-01","234.16","295.32","384.05","551.33","0","0"
