"Date","Daily Rate"
"2023-05-01","131"
"2023-06-01","132"
"2023-07-01","159"
"2023-08-01","173"
"2023-09-01","194"
"2023-10-01","196"
"2023-11-01","156"
"2023-12-01","179"
"2024-01-01","199"
"2024-02-01","223"
"2024-03-01","266"
"2024-04-01","301"
"2024-05-01","228"
"2024-06-01","186"
"2024-07-01","263"
"2024-08-01","342"
"2024-09-01","277"
"2024-10-01","209"
"2024-11-01","203"
"2024-12-01","264"
"2025-01-01","268"
"2025-02-01","245"
"2025-03-01","305"
"2025-04-01","324"
"2025-05-01","255"
"2025-06-01","165"
"2025-07-01","179"
"2025-08-01","175"
"2025-09-01","202"
"2025-10-01","249"
"2025-11-01","246"
"2025-12-01","263"
"2026-01-01","276"
"2026-02-01","298"
"2026-03-01","331"
"2026-04-01","263"
