"Date","Budget","Economy","Midscale","Upscale","Luxury"
"2023-05-01","131","129","0","215","0"
"2023-06-01","127","159","0","0","0"
"2023-07-01","157","170","0","216","0"
"2023-08-01","171","175","0","224","0"
"2023-09-01","192","209","0","220","0"
"2023-10-01","187","151","0","244","0"
"2023-11-01","155","141","0","207","0"
"2023-12-01","174","159","306","316","435"
"2024-01-01","187","198","321","339","413"
"2024-02-01","187","180","354","303","596"
"2024-03-01","179","227","0","729","592"
"2024-04-01","220","229","0","0","618"
"2024-05-01","229","218","0","0","0"
"2024-06-01","183","196","0","0","0"
"2024-07-01","196","224","0","0","656"
"2024-08-01","236","0","0","0","648"
"2024-09-01","251","196","186","276","663"
"2024-10-01","179","253","0","0","668"
"2024-11-01","196","219","0","696","0"
"2024-12-01","232","215","205","555","592"
"2025-01-01","235","248","193","559","641"
"2025-02-01","175","234","215","605","692"
"2025-03-01","193","250","322","623","666"
"2025-04-01","202","198","504","393","733"
"2025-05-01","175","206","409","371","782"
"2025-06-01","166","198","0","109","0"
"2025-07-01","181","139","0","0","0"
"2025-08-01","172","216","0","0","0"
"2025-09-01","145","130","352","436","550"
"2025-10-01","188","252","361","0","563"
"2025-11-01","201","293","0","0","538"
"2025-12-01","224","246","276","233","507"
"2026-01-01","278","224","288","287","521"
"2026-02-01","258","278","264","410","687"
"2026-03-01","216","170","219","591","1868"
"2026-04-01","195","202","205","527","1833"
