"Date","Booked Listings","Daily Rate"
"2026-05-14","10","256.19"
"2026-05-15","10","236.49"
"2026-05-16","14","236.49"
"2026-05-17","14","221.71"
"2026-05-18","11","221.71"
"2026-05-19","10","236.49"
"2026-05-20","11","231.56"
"2026-05-21","12","231.56"
"2026-05-22","9","236.49"
"2026-05-23","8","206.93"
"2026-05-24","8","157.66"
"2026-05-25","8","157.66"
"2026-05-26","9","211.85"
"2026-05-27","6","221.71"
"2026-05-28","6","251.27"
"2026-05-29","6","246.34"
"2026-05-30","7","246.34"
"2026-05-31","8","231.56"
"2026-06-01","8","216.78"
"2026-06-02","6","157.66"
"2026-06-03","8","202"
"2026-06-04","9","290.68"
"2026-06-05","11","285.75"
"2026-06-06","11","285.75"
"2026-06-07","7","202"
"2026-06-08","5","221.71"
"2026-06-09","5","221.71"
"2026-06-10","3","305.46"
"2026-06-11","4","128.1"
"2026-06-12","5","192.15"
"2026-06-13","4","162.58"
"2026-06-14","3","133.02"
"2026-06-15","2","78.83"
"2026-06-16","4","137.95"
"2026-06-17","4","103.46"
"2026-06-18","4","103.46"
"2026-06-19","3","123.17"
"2026-06-20","2","103.46"
"2026-06-21","2","103.46"
"2026-06-22","2","88.68"
"2026-06-23","3","305.46"
"2026-06-24","4","103.46"
"2026-06-25","4","103.46"
"2026-06-26","3","123.17"
"2026-06-27","3","123.17"
"2026-06-28","3","98.54"
"2026-06-29","3","98.54"
"2026-06-30","4","103.46"
"2026-07-01","5","162.58"
"2026-07-02","5","162.58"
"2026-07-03","3","167.51"
"2026-07-04","3","162.58"
"2026-07-05","3","162.58"
"2026-07-06","3","182.29"
"2026-07-07","4","182.29"
"2026-07-08","4","182.29"
"2026-07-09","5","182.29"
"2026-07-10","4","167.51"
"2026-07-11","3","162.58"
"2026-07-12","3","162.58"
"2026-07-13","3","167.51"
"2026-07-14","4","162.58"
"2026-07-15","4","162.58"
"2026-07-16","4","162.58"
"2026-07-17","3","167.51"
"2026-07-18","3","162.58"
"2026-07-19","2","162.58"
"2026-07-20","2","167.51"
"2026-07-21","3","177.36"
"2026-07-22","2","162.58"
"2026-07-23","3","177.36"
"2026-07-24","2","167.51"
"2026-07-25","2","162.58"
"2026-07-26","2","162.58"
"2026-07-27","2","167.51"
"2026-07-28","2","162.58"
"2026-07-29","3","211.85"
"2026-07-30","3","236.49"
"2026-07-31","2","167.51"
"2026-08-01","2","236.49"
"2026-08-02","3","216.78"
"2026-08-03","2","113.32"
"2026-08-04","2","113.32"
"2026-08-05","2","113.32"
"2026-08-06","1","251.27"
"2026-08-07","2","221.71"
"2026-08-08","2","270.97"
"2026-08-09","2","206.93"
"2026-08-10","2","192.15"
"2026-08-11","2","192.15"
"2026-08-12","2","192.15"
"2026-08-13","2","192.15"
"2026-08-14","2","221.71"
"2026-08-15","1","285.75"
"2026-08-16","1","266.05"
"2026-08-17","1","251.27"
"2026-08-18","1","251.27"
"2026-08-19","2","251.27"
"2026-08-20","2","251.27"
"2026-08-21","3","339.95"
"2026-08-22","4","285.75"
"2026-08-23","4","261.12"
"2026-08-24","4","251.27"
"2026-08-25","4","251.27"
"2026-08-26","4","251.27"
"2026-08-27","4","251.27"
"2026-08-28","4","285.75"
"2026-08-29","5","285.75"
"2026-08-30","5","256.19"
"2026-08-31","5","251.27"
"2026-09-01","3","226.63"
"2026-09-02","2","226.63"
"2026-09-03","3","251.27"
"2026-09-04","5","241.41"
"2026-09-05","5","241.41"
"2026-09-06","4","251.27"
"2026-09-07","4","251.27"
"2026-09-08","4","251.27"
"2026-09-09","3","251.27"
"2026-09-10","4","251.27"
"2026-09-11","6","285.75"
"2026-09-12","6","285.75"
"2026-09-13","4","285.75"
"2026-09-14","4","285.75"
"2026-09-15","2","251.27"
"2026-09-16","2","251.27"
"2026-09-17","2","251.27"
"2026-09-18","2","285.75"
"2026-09-19","2","285.75"
"2026-09-20","2","251.27"
"2026-09-21","2","251.27"
"2026-09-22","2","251.27"
"2026-09-23","2","251.27"
"2026-09-24","2","251.27"
"2026-09-25","2","285.75"
"2026-09-26","2","285.75"
"2026-09-27","2","251.27"
"2026-09-28","2","251.27"
"2026-09-29","2","251.27"
"2026-09-30","2","251.27"
"2026-10-01","2","251.27"
"2026-10-02","2","285.75"
"2026-10-03","2","285.75"
"2026-10-04","2","251.27"
"2026-10-05","2","251.27"
"2026-10-06","2","251.27"
"2026-10-07","2","251.27"
"2026-10-08","4","231.56"
"2026-10-09","6","241.41"
"2026-10-10","5","241.41"
"2026-10-11","5","251.27"
"2026-10-12","3","285.75"
"2026-10-13","2","251.27"
"2026-10-14","2","251.27"
"2026-10-15","2","251.27"
"2026-10-16","2","285.75"
"2026-10-17","2","285.75"
"2026-10-18","2","251.27"
"2026-10-19","2","251.27"
"2026-10-20","2","251.27"
"2026-10-21","2","251.27"
"2026-10-22","2","251.27"
"2026-10-23","2","285.75"
"2026-10-24","2","285.75"
"2026-10-25","2","251.27"
"2026-10-26","2","251.27"
"2026-10-27","2","251.27"
"2026-10-28","2","251.27"
"2026-10-29","1","251.27"
"2026-10-30","2","241.41"
"2026-10-31","2","241.41"
