"Date","Revenue"
"2023-05-01","2307.25"
"2023-06-01","2312.34"
"2023-07-01","2775.54"
"2023-08-01","3252.8"
"2023-09-01","2507.58"
"2023-10-01","3505.41"
"2023-11-01","2756.29"
"2023-12-01","2785.33"
"2024-01-01","2806.03"
"2024-02-01","2597.82"
"2024-03-01","4539.46"
"2024-04-01","4319.92"
"2024-05-01","2551.29"
"2024-06-01","3872.86"
"2024-07-01","3971.81"
"2024-08-01","6843.37"
"2024-09-01","2991.45"
"2024-10-01","2855.96"
"2024-11-01","2900.13"
"2024-12-01","2643.22"
"2025-01-01","3872.82"
"2025-02-01","2405.42"
"2025-03-01","3401.73"
"2025-04-01","2974.14"
"2025-05-01","2014.8"
"2025-06-01","2362.32"
"2025-07-01","3033.25"
"2025-08-01","2170.08"
"2025-09-01","2688.65"
"2025-10-01","3203.63"
"2025-11-01","3211.22"
"2025-12-01","2602.27"
"2026-01-01","3696.63"
"2026-02-01","3530.55"
"2026-03-01","5373.94"
"2026-04-01","3059.87"
