"Date","1 bedroom","2 bedroom","3 bedroom","4 bedroom","5 bedroom","6+ bedroom"
"2023-05-01","1870.2","2466.7","","4610.7","",""
"2023-06-01","2137.54","2232.17","","3521.43","",""
"2023-07-01","1725.38","3414.74","","9898.44","",""
"2023-08-01","1848.48","4179.67","","9824.85","",""
"2023-09-01","1492.8","3228.93","","9183.09","",""
"2023-10-01","2368.31","5009.3","","9594.43","",""
"2023-11-01","2264.81","2488.33","","8251.49","",""
"2023-12-01","2271.18","2483.87","","12004.53","",""
"2024-01-01","2011.29","3977.21","","8452.93","",""
"2024-02-01","2223.03","2050.89","","12250.7","",""
"2024-03-01","4211.37","2980.35","","10282.6","",""
"2024-04-01","4354.53","2278.9","","8228.92","",""
"2024-05-01","1763.03","2606.06","","4806.46","",""
"2024-06-01","4219.77","2964.17","","4649.58","",""
"2024-07-01","3855.22","4072.61","","4353.19","",""
"2024-08-01","8335.65","4068.16","","7916.87","",""
"2024-09-01","2201.12","4910.85","","9427.26","",""
"2024-10-01","2008.86","4033.77","","8124.08","",""
"2024-11-01","2022.67","4457.85","","11872.15","",""
"2024-12-01","2090.67","4819.84","","8821.91","",""
"2025-01-01","2739.66","8432.71","","11696.64","",""
"2025-02-01","2289.13","2240.52","1534.57","7153.7","",""
"2025-03-01","2484.4","5061.19","2194.82","14266.33","",""
"2025-04-01","2041.48","8453.92","1895.33","6674.84","",""
"2025-05-01","1791.16","1704.84","4367.23","4898.57","",""
"2025-06-01","1717.67","2396.8","5604.89","3509.29","",""
"2025-07-01","1798.07","2551.2","7534.11","2406.69","",""
"2025-08-01","1442.42","2081.13","7801.61","1361.03","",""
"2025-09-01","2798.02","1984.88","2472.27","3376.1","",""
"2025-10-01","3100.36","2711.77","4227.09","3586.62","",""
"2025-11-01","2917.91","3988.72","3864.24","4163.52","",""
"2025-12-01","2118.09","2717.2","4992.54","9351.54","",""
"2026-01-01","2944.47","2263.58","12258.34","18417.05","",""
"2026-02-01","2719.78","4916.67","10517.08","14953.57","",""
"2026-03-01","4627.6","7906.61","4984.11","7963.91","",""
"2026-04-01","2408.51","5611.15","5952.73","2756.63","",""
