"Date","Unique","B&B","Apartment","House"
"2023-05-01","","","14071.69","6693.59"
"2023-06-01","","","14576.43","6234.67"
"2023-07-01","","","15455.2","15075.79"
"2023-08-01","","","12905.4","16369.77"
"2023-09-01","","","13451.02","14132.33"
"2023-10-01","","","24117.36","14442.14"
"2023-11-01","","","24302.27","14285.73"
"2023-12-01","","","34946.96","23544.88"
"2024-01-01","","","36146.25","14362.2"
"2024-02-01","","","38303.97","24043.81"
"2024-03-01","","","34759.98","15174.08"
"2024-04-01","","","25008.23","9551.14"
"2024-05-01","","","9422.91","5884.83"
"2024-06-01","","","17940.2","5296.99"
"2024-07-01","","","24468.32","7306.17"
"2024-08-01","","","30427.56","10632.64"
"2024-09-01","","","35257.84","12605.37"
"2024-10-01","","","21912.96","12358.55"
"2024-11-01","","","25680.49","14921.35"
"2024-12-01","","","53360.45","18006.36"
"2025-01-01","","","84859.28","23579.71"
"2025-02-01","","","61188.66","15784.92"
"2025-03-01","","","70400.89","48659.52"
"2025-04-01","","","57742.67","37429.73"
"2025-05-01","1795.76","","48087.85","20634.24"
"2025-06-01","2406.05","","20745.29","19370.4"
"2025-07-01","2323.32","","20042.78","10999.63"
"2025-08-01","2749.06","","29089.27","11563.34"
"2025-09-01","2583.92","","39811.44","11377.74"
"2025-10-01","2158.52","","47225.71","11484.83"
"2025-11-01","3496.09","","44877.07","9428.85"
"2025-12-01","3914.97","","53905.36","28054.61"
"2026-01-01","4671.38","","75628.01","63869.02"
"2026-02-01","3517.87","","116121.12","78071.73"
"2026-03-01","3209.02","","89399.44","30992.09"
"2026-04-01","2826.55","","83028.58","24300.32"
