"Date","1 bedroom","2 bedroom","3 bedroom","4 bedroom","5 bedroom","6+ bedroom"
"2023-05-01","24","21","3","0","0","0"
"2023-06-01","22","21","3","0","0","0"
"2023-07-01","27","19","2","0","0","0"
"2023-08-01","29","19","3","0","0","0"
"2023-09-01","26","20","3","0","0","0"
"2023-10-01","29","19","3","0","0","0"
"2023-11-01","37","21","3","0","0","0"
"2023-12-01","44","23","4","0","0","0"
"2024-01-01","43","22","5","0","0","0"
"2024-02-01","52","23","4","0","0","0"
"2024-03-01","52","23","4","0","0","0"
"2024-04-01","33","22","3","0","0","0"
"2024-05-01","38","23","4","0","0","0"
"2024-06-01","33","23","4","0","0","0"
"2024-07-01","33","24","4","0","0","0"
"2024-08-01","33","25","5","0","0","0"
"2024-09-01","47","29","7","0","0","0"
"2024-10-01","53","31","6","0","0","0"
"2024-11-01","51","31","6","0","0","0"
"2024-12-01","64","34","9","0","0","0"
"2025-01-01","69","34","9","0","0","0"
"2025-02-01","76","37","9","0","0","0"
"2025-03-01","81","40","9","0","0","0"
"2025-04-01","78","33","9","0","0","0"
"2025-05-01","81","35","7","0","0","0"
"2025-06-01","72","28","8","0","0","0"
"2025-07-01","71","27","9","0","0","0"
"2025-08-01","66","29","8","0","0","0"
"2025-09-01","69","31","6","0","0","0"
"2025-10-01","72","37","7","0","0","0"
"2025-11-01","83","34","8","0","0","0"
"2025-12-01","100","49","9","0","0","0"
"2026-01-01","106","51","10","0","0","0"
"2026-02-01","119","56","11","0","0","0"
"2026-03-01","118","57","11","0","0","0"
"2026-04-01","93","45","6","0","0","1"
