"Date","Listing Days Booked","Booked Listings"
"2023-05-01","688","40"
"2023-06-01","745","43"
"2023-07-01","1001","46"
"2023-08-01","771","45"
"2023-09-01","809","43"
"2023-10-01","907","50"
"2023-11-01","1049","60"
"2023-12-01","899","64"
"2024-01-01","846","64"
"2024-02-01","1036","76"
"2024-03-01","847","53"
"2024-04-01","784","53"
"2024-05-01","809","58"
"2024-06-01","807","55"
"2024-07-01","968","58"
"2024-08-01","1120","59"
"2024-09-01","1382","81"
"2024-10-01","1287","83"
"2024-11-01","1302","81"
"2024-12-01","1511","107"
"2025-01-01","1688","105"
"2025-02-01","1774","119"
"2025-03-01","2014","126"
"2025-04-01","1678","106"
"2025-05-01","1670","122"
"2025-06-01","1645","98"
"2025-07-01","1645","91"
"2025-08-01","1639","94"
"2025-09-01","1687","98"
"2025-10-01","1783","106"
"2025-11-01","2073","123"
"2025-12-01","2247","154"
"2026-01-01","2561","162"
"2026-02-01","2818","183"
"2026-03-01","2245","130"
"2026-04-01","2101","131"
