"Date","Length of Stay"
"2023-05-01",""
"2023-06-01",""
"2023-07-01",""
"2023-08-01",""
"2023-09-01",""
"2023-10-01",""
"2023-11-01",""
"2023-12-01",""
"2024-01-01",""
"2024-02-01",""
"2024-03-01",""
"2024-04-01","5.15"
"2024-05-01","5.68"
"2024-06-01","6.58"
"2024-07-01","5.77"
"2024-08-01","5.59"
"2024-09-01","4.55"
"2024-10-01","4.86"
"2024-11-01","3.97"
"2024-12-01","4.67"
"2025-01-01","4.51"
"2025-02-01","4.35"
"2025-03-01","4.65"
"2025-04-01","4.12"
"2025-05-01","5"
"2025-06-01","4.97"
"2025-07-01","3.93"
"2025-08-01","4.43"
"2025-09-01","4.16"
"2025-10-01","3.72"
"2025-11-01","4.48"
"2025-12-01","4.8"
"2026-01-01","4.54"
"2026-02-01","4.43"
"2026-03-01","4.44"
"2026-04-01","4.07"
