"Date","Occupancy"
"2023-05-01","53.05"
"2023-06-01","61.57"
"2023-07-01","73.01"
"2023-08-01","55.19"
"2023-09-01","61.43"
"2023-10-01","63.74"
"2023-11-01","64"
"2023-12-01","50.53"
"2024-01-01","43.56"
"2024-02-01","54.1"
"2024-03-01","45.86"
"2024-04-01","51.17"
"2024-05-01","45.63"
"2024-06-01","53.41"
"2024-07-01","61.07"
"2024-08-01","63.78"
"2024-09-01","65.31"
"2024-10-01","51.75"
"2024-11-01","54.87"
"2024-12-01","59.94"
"2025-01-01","51.53"
"2025-02-01","69.24"
"2025-03-01","54.61"
"2025-04-01","56.98"
"2025-05-01","46.08"
"2025-06-01","58.73"
"2025-07-01","57.3"
"2025-08-01","58.64"
"2025-09-01","60.4"
"2025-10-01","56.82"
"2025-11-01","62.99"
"2025-12-01","58.14"
"2026-01-01","53.98"
"2026-02-01","64.02"
"2026-03-01","46.51"
"2026-04-01","54.69"
