"Date","1 bedroom","2 bedroom","3 bedroom","4 bedroom","5 bedroom","6+ bedroom"
"2023-05-01","98.73","202.88","305.84","0","0","0"
"2023-06-01","97.52","209.12","259.39","0","0","0"
"2023-07-01","101.67","202.94","270.39","0","0","0"
"2023-08-01","93.6","209.86","238.57","0","0","0"
"2023-09-01","98.72","206.81","330.02","0","0","0"
"2023-10-01","119.99","221.57","388.24","0","0","0"
"2023-11-01","114.09","206.41","368.59","0","0","0"
"2023-12-01","141.6","239.63","395.39","0","0","0"
"2024-01-01","168.36","281.9","396.22","0","0","0"
"2024-02-01","183.36","276.11","335.7","0","0","0"
"2024-03-01","185.58","227.4","344.01","0","0","0"
"2024-04-01","196.44","240.52","352.2","0","0","0"
"2024-05-01","120.89","253.49","367.87","0","0","0"
"2024-06-01","155.32","227.43","406.73","0","0","0"
"2024-07-01","155.55","231.14","389.5","0","0","0"
"2024-08-01","122.25","217.54","425.25","0","0","0"
"2024-09-01","145.6","235.07","423.05","0","0","0"
"2024-10-01","135.16","208.82","404.66","0","0","0"
"2024-11-01","146.56","215.77","351.81","0","0","0"
"2024-12-01","178.05","254.66","396.95","0","0","0"
"2025-01-01","171.74","252.16","321.25","0","0","0"
"2025-02-01","161.34","258.39","357.37","0","0","0"
"2025-03-01","146.28","267.02","350.8","0","0","0"
"2025-04-01","151.14","237.17","443.36","0","0","0"
"2025-05-01","140.67","232.6","423.94","0","0","0"
"2025-06-01","130.46","250.38","397.56","0","0","0"
"2025-07-01","132.92","220.55","271.16","0","0","0"
"2025-08-01","133.32","218.15","357.45","0","0","0"
"2025-09-01","136.23","223.03","296.99","0","0","0"
"2025-10-01","146.93","230.46","405.27","0","0","0"
"2025-11-01","143.83","263.33","401.97","0","0","0"
"2025-12-01","163.93","279.65","389.41","0","0","0"
"2026-01-01","196.2","298.35","327.07","0","0","0"
"2026-02-01","205.4","337.47","416.48","0","0","0"
"2026-03-01","166.04","277.59","403.23","0","0","0"
"2026-04-01","153.18","254.88","352.35","0","0","814.01"
