"Date","Daily Rate"
"2023-05-01","165"
"2023-06-01","153"
"2023-07-01","154"
"2023-08-01","159"
"2023-09-01","161"
"2023-10-01","174"
"2023-11-01","160"
"2023-12-01","188"
"2024-01-01","226"
"2024-02-01","224"
"2024-03-01","208"
"2024-04-01","223"
"2024-05-01","186"
"2024-06-01","204"
"2024-07-01","199"
"2024-08-01","178"
"2024-09-01","194"
"2024-10-01","177"
"2024-11-01","187"
"2024-12-01","225"
"2025-01-01","209"
"2025-02-01","206"
"2025-03-01","194"
"2025-04-01","192"
"2025-05-01","182"
"2025-06-01","180"
"2025-07-01","167"
"2025-08-01","173"
"2025-09-01","175"
"2025-10-01","194"
"2025-11-01","196"
"2025-12-01","213"
"2026-01-01","233"
"2026-02-01","255"
"2026-03-01","211"
"2026-04-01","196"
