"Date","Budget","Economy","Midscale","Upscale","Luxury"
"2023-05-01","154","225","0","104","0"
"2023-06-01","140","212","197","100","0"
"2023-07-01","144","193","189","101","0"
"2023-08-01","149","191","147","0","228"
"2023-09-01","152","184","197","117","0"
"2023-10-01","149","193","125","198","484"
"2023-11-01","142","177","178","178","404"
"2023-12-01","158","237","186","183","439"
"2024-01-01","193","239","198","194","885"
"2024-02-01","169","272","266","320","3503"
"2024-03-01","167","194","221","0","3512"
"2024-04-01","180","204","266","175","3645"
"2024-05-01","171","225","245","163","678"
"2024-06-01","179","244","275","326","614"
"2024-07-01","180","217","271","311","631"
"2024-08-01","159","190","392","329","0"
"2024-09-01","170","252","304","510","683"
"2024-10-01","158","230","280","0","698"
"2024-11-01","160","246","276","0","615"
"2024-12-01","194","263","292","231","688"
"2025-01-01","167","281","311","174","850"
"2025-02-01","154","300","277","0","680"
"2025-03-01","161","277","325","264","651"
"2025-04-01","153","279","341","0","0"
"2025-05-01","143","272","293","266","887"
"2025-06-01","135","314","290","319","0"
"2025-07-01","143","229","304","0","0"
"2025-08-01","145","255","299","0","0"
"2025-09-01","141","253","343","0","0"
"2025-10-01","152","263","366","567","0"
"2025-11-01","151","261","396","497","0"
"2025-12-01","166","304","320","365","738"
"2026-01-01","191","278","329","367","496"
"2026-02-01","202","319","352","425","407"
"2026-03-01","169","263","345","228","456"
"2026-04-01","151","255","319","265","454"
