"Date","Booked Listings","Daily Rate"
"2026-05-14","57","216.78"
"2026-05-15","59","236.49"
"2026-05-16","62","236.49"
"2026-05-17","51","231.56"
"2026-05-18","41","202"
"2026-05-19","42","172.44"
"2026-05-20","48","172.44"
"2026-05-21","40","202"
"2026-05-22","52","221.71"
"2026-05-23","56","251.27"
"2026-05-24","46","241.41"
"2026-05-25","31","187.22"
"2026-05-26","31","172.44"
"2026-05-27","30","167.51"
"2026-05-28","29","157.66"
"2026-05-29","38","182.29"
"2026-05-30","39","172.44"
"2026-05-31","36","172.44"
"2026-06-01","30","192.15"
"2026-06-02","30","192.15"
"2026-06-03","36","197.07"
"2026-06-04","48","211.85"
"2026-06-05","54","221.71"
"2026-06-06","56","246.34"
"2026-06-07","38","226.63"
"2026-06-08","29","231.56"
"2026-06-09","22","177.36"
"2026-06-10","26","167.51"
"2026-06-11","24","167.51"
"2026-06-12","25","192.15"
"2026-06-13","26","192.15"
"2026-06-14","25","167.51"
"2026-06-15","26","206.93"
"2026-06-16","23","167.51"
"2026-06-17","19","167.51"
"2026-06-18","16","162.58"
"2026-06-19","15","197.07"
"2026-06-20","12","246.34"
"2026-06-21","11","270.97"
"2026-06-22","12","221.71"
"2026-06-23","12","211.85"
"2026-06-24","12","216.78"
"2026-06-25","12","167.51"
"2026-06-26","16","285.75"
"2026-06-27","15","295.61"
"2026-06-28","13","320.24"
"2026-06-29","10","162.58"
"2026-06-30","11","221.71"
"2026-07-01","9","216.78"
"2026-07-02","9","231.56"
"2026-07-03","14","157.66"
"2026-07-04","19","157.66"
"2026-07-05","14","157.66"
"2026-07-06","9","162.58"
"2026-07-07","9","162.58"
"2026-07-08","8","162.58"
"2026-07-09","8","162.58"
"2026-07-10","8","147.8"
"2026-07-11","8","192.15"
"2026-07-12","9","231.56"
"2026-07-13","10","167.51"
"2026-07-14","9","231.56"
"2026-07-15","10","231.56"
"2026-07-16","11","231.56"
"2026-07-17","8","295.61"
"2026-07-18","11","290.68"
"2026-07-19","10","280.83"
"2026-07-20","11","280.83"
"2026-07-21","12","177.36"
"2026-07-22","14","231.56"
"2026-07-23","13","251.27"
"2026-07-24","16","275.9"
"2026-07-25","14","251.27"
"2026-07-26","11","251.27"
"2026-07-27","8","231.56"
"2026-07-28","7","231.56"
"2026-07-29","9","231.56"
"2026-07-30","7","231.56"
"2026-07-31","8","261.12"
"2026-08-01","9","261.12"
"2026-08-02","9","275.9"
"2026-08-03","8","231.56"
"2026-08-04","9","231.56"
"2026-08-05","9","231.56"
"2026-08-06","12","266.05"
"2026-08-07","12","280.83"
"2026-08-08","14","280.83"
"2026-08-09","13","290.68"
"2026-08-10","16","231.56"
"2026-08-11","16","231.56"
"2026-08-12","15","216.78"
"2026-08-13","17","216.78"
"2026-08-14","15","216.78"
"2026-08-15","14","216.78"
"2026-08-16","12","177.36"
"2026-08-17","13","206.93"
"2026-08-18","11","206.93"
"2026-08-19","11","266.05"
"2026-08-20","10","206.93"
"2026-08-21","10","211.85"
"2026-08-22","11","280.83"
"2026-08-23","10","197.07"
"2026-08-24","10","206.93"
"2026-08-25","10","197.07"
"2026-08-26","9","206.93"
"2026-08-27","10","202"
"2026-08-28","9","280.83"
"2026-08-29","9","280.83"
"2026-08-30","10","280.83"
"2026-08-31","9","280.83"
"2026-09-01","8","256.19"
"2026-09-02","9","275.9"
"2026-09-03","9","290.68"
"2026-09-04","11","275.9"
"2026-09-05","15","354.73"
"2026-09-06","15","315.32"
"2026-09-07","16","285.75"
"2026-09-08","10","266.05"
"2026-09-09","13","295.61"
"2026-09-10","18","300.53"
"2026-09-11","19","325.17"
"2026-09-12","19","354.73"
"2026-09-13","16","290.68"
"2026-09-14","11","305.46"
"2026-09-15","10","290.68"
"2026-09-16","10","266.05"
"2026-09-17","12","290.68"
"2026-09-18","13","349.8"
"2026-09-19","13","310.39"
"2026-09-20","11","290.68"
"2026-09-21","7","275.9"
"2026-09-22","6","266.05"
"2026-09-23","8","285.75"
"2026-09-24","11","300.53"
"2026-09-25","12","344.88"
"2026-09-26","16","320.24"
"2026-09-27","16","315.32"
"2026-09-28","11","285.75"
"2026-09-29","7","290.68"
"2026-09-30","7","285.75"
"2026-10-01","6","206.93"
"2026-10-02","6","206.93"
"2026-10-03","4","206.93"
"2026-10-04","4","241.41"
"2026-10-05","5","241.41"
"2026-10-06","5","241.41"
"2026-10-07","5","266.05"
"2026-10-08","6","241.41"
"2026-10-09","9","310.39"
"2026-10-10","9","310.39"
"2026-10-11","9","344.88"
"2026-10-12","7","285.75"
"2026-10-13","4","206.93"
"2026-10-14","4","266.05"
"2026-10-15","3","290.68"
"2026-10-16","4","295.61"
"2026-10-17","3","295.61"
"2026-10-18","4","285.75"
"2026-10-19","4","266.05"
"2026-10-20","3","266.05"
"2026-10-21","3","266.05"
"2026-10-22","4","206.93"
"2026-10-23","4","206.93"
"2026-10-24","6","206.93"
"2026-10-25","6","206.93"
"2026-10-26","5","266.05"
"2026-10-27","5","206.93"
"2026-10-28","6","202"
"2026-10-29","5","206.93"
"2026-10-30","6","206.93"
"2026-10-31","6","206.93"
