"Date","Revenue"
"2023-05-01","2831.94"
"2023-06-01","2655.73"
"2023-07-01","3360.87"
"2023-08-01","2722.09"
"2023-09-01","3036.25"
"2023-10-01","3154.95"
"2023-11-01","2802.2"
"2023-12-01","2638.34"
"2024-01-01","2985.56"
"2024-02-01","3050.31"
"2024-03-01","3323.46"
"2024-04-01","3303.66"
"2024-05-01","2597.3"
"2024-06-01","2991.22"
"2024-07-01","3320.74"
"2024-08-01","3387.99"
"2024-09-01","3303.4"
"2024-10-01","2750.6"
"2024-11-01","3011.84"
"2024-12-01","3175.99"
"2025-01-01","3362.57"
"2025-02-01","3073.78"
"2025-03-01","3101.62"
"2025-04-01","3045.06"
"2025-05-01","2492.47"
"2025-06-01","3026.91"
"2025-07-01","3010.09"
"2025-08-01","3011.81"
"2025-09-01","3016.68"
"2025-10-01","3254.9"
"2025-11-01","3307.98"
"2025-12-01","3109.42"
"2026-01-01","3683.38"
"2026-02-01","3930.86"
"2026-03-01","3648.42"
"2026-04-01","3149.66"
