"Date","1 bedroom","2 bedroom","3 bedroom","4 bedroom","5 bedroom","6+ bedroom"
"2023-05-01","1564.07","3809.67","4995.35","","",""
"2023-06-01","1783.18","3698.18","2161.59","","",""
"2023-07-01","2057.88","4859.84","5407.88","","",""
"2023-08-01","1353.35","4523.62","2862.87","","",""
"2023-09-01","1745.52","4331.48","4730.24","","",""
"2023-10-01","2125.57","4291.44","5564.77","","",""
"2023-11-01","1917.39","3911.9","5651.71","","",""
"2023-12-01","1978.8","3537.31","4349.24","","",""
"2024-01-01","2117.85","4134.54","4754.65","","",""
"2024-02-01","2306.69","4242.04","5790.86","","",""
"2024-03-01","2901.26","3990.88","3096.12","","",""
"2024-04-01","2855.39","3684.35","4696.08","","",""
"2024-05-01","1652.12","3754.02","4322.47","","",""
"2024-06-01","2086.53","3597.46","7592.35","","",""
"2024-07-01","2624.34","3939.34","5160.9","","",""
"2024-08-01","2232.09","4577.47","5209.33","","",""
"2024-09-01","2413.22","4508.35","4653.51","","",""
"2024-10-01","1987.88","3633.5","4774.95","","",""
"2024-11-01","2284.4","3660.66","5453.02","","",""
"2024-12-01","2206.14","4546.36","4895.67","","",""
"2025-01-01","2568.15","5165.16","2891.27","","",""
"2025-02-01","2287.07","4413.62","4154.45","","",""
"2025-03-01","2445.5","4005.26","4872.27","","",""
"2025-04-01","2302.88","4286.61","5890.28","","",""
"2025-05-01","1943.01","3156.74","5450.6","","",""
"2025-06-01","2144.83","4343.54","7269.66","","",""
"2025-07-01","2516.07","4005.22","3374.42","","",""
"2025-08-01","2133.09","4536","5361.75","","",""
"2025-09-01","2145.61","4356.5","6905.06","","",""
"2025-10-01","2315.28","4350.88","6947.42","","",""
"2025-11-01","2253.92","5450.08","5275.92","","",""
"2025-12-01","2382.07","4069.84","6014.17","","",""
"2026-01-01","3182.98","4712.67","3794.02","","",""
"2026-02-01","3191.66","5479.32","4051.19","","",""
"2026-03-01","2768.02","5373.77","4905.91","","",""
"2026-04-01","2348.13","4730.02","3171.13","","","814.01"
