"Date","Unique","B&B","Apartment","House"
"2023-05-01","","","85412.91","27864.68"
"2023-06-01","","","80665.85","33530.59"
"2023-07-01","","","118358.6","36241.44"
"2023-08-01","","","92441.34","30052.78"
"2023-09-01","","","99193.95","31364.62"
"2023-10-01","","","114350.43","43397.11"
"2023-11-01","63.21","802.3","119838.66","47427.83"
"2023-12-01","59.26","770.34","118094.76","49929.17"
"2024-01-01","58.36","286.95","142007.31","48723.51"
"2024-02-01","611.79","","145575.96","85635.55"
"2024-03-01","","","122117.11","54026.12"
"2024-04-01","","","117237.44","57856.5"
"2024-05-01","457.02","","120895.73","29290.63"
"2024-06-01","","","139979.57","24537.36"
"2024-07-01","","","157662.96","34939.96"
"2024-08-01","","","162721.05","37170.34"
"2024-09-01","1318.58","383.18","212792.39","53081.17"
"2024-10-01","271.37","101.76","192524.25","35402.21"
"2024-11-01","255.07","","204012.06","39691.72"
"2024-12-01","181.27","398.8","290941.66","48309"
"2025-01-01","1419.23","270.62","301364.4","50015.92"
"2025-02-01","1021.14","","321408.73","43350.05"
"2025-03-01","1735.17","1924.78","334951.48","52193.07"
"2025-04-01","1371.46","","279766.48","41638.29"
"2025-05-01","1534.36","113.66","261062.1","41370.78"
"2025-06-01","1995.81","","246415.4","48226.41"
"2025-07-01","655.86","","222493.75","50768.37"
"2025-08-01","86.41","","243235.11","39788.46"
"2025-09-01","79.75","","249709.4","45845.9"
"2025-10-01","637.74","","296528.81","47852.55"
"2025-11-01","1869.88","","353120.84","51890.43"
"2025-12-01","7483.4","","389954.24","81413.07"
"2026-01-01","12397.95","","482982.99","101325.97"
"2026-02-01","12197.73","","589849.16","117300.71"
"2026-03-01","7931.93","","411356.84","55006.43"
"2026-04-01","7465.88","","356125","49015.13"
