"Date","1 bedroom","2 bedroom","3 bedroom","4 bedroom","5 bedroom","6+ bedroom"
"2023-05-01","9999","4085","1602","322","105","69"
"2023-06-01","9950","3950","1552","309","79","53"
"2023-07-01","10023","3957","1661","316","85","64"
"2023-08-01","9755","3840","1587","304","84","66"
"2023-09-01","10575","4097","1675","338","88","83"
"2023-10-01","11359","4442","1791","364","93","78"
"2023-11-01","13190","5332","2193","417","115","88"
"2023-12-01","16575","6719","2697","518","154","130"
"2024-01-01","16680","6772","2644","509","138","128"
"2024-02-01","17688","7127","2925","580","174","143"
"2024-03-01","17820","6953","2862","588","173","136"
"2024-04-01","13915","5275","2072","413","112","96"
"2024-05-01","15441","5686","2210","409","115","95"
"2024-06-01","14310","5235","1972","358","102","73"
"2024-07-01","13079","4902","1888","354","98","67"
"2024-08-01","13363","5005","1900","342","107","90"
"2024-09-01","17664","6886","2512","494","151","120"
"2024-10-01","17688","6742","2466","474","151","110"
"2024-11-01","16761","6176","2348","437","153","108"
"2024-12-01","21098","7947","2986","546","190","143"
"2025-01-01","21616","8100","3053","567","188","137"
"2025-02-01","21653","8116","3187","596","213","132"
"2025-03-01","23515","8676","3354","628","221","158"
"2025-04-01","22360","8226","3143","568","210","142"
"2025-05-01","22394","7876","2889","494","164","117"
"2025-06-01","19507","6661","2431","403","139","89"
"2025-07-01","18819","6560","2412","401","144","89"
"2025-08-01","17618","6058","2210","377","130","92"
"2025-09-01","17945","5958","2178","369","141","103"
"2025-10-01","18381","6129","2210","359","142","108"
"2025-11-01","20239","6864","2499","435","157","114"
"2025-12-01","26224","9034","3219","575","194","163"
"2026-01-01","27560","9629","3389","588","196","164"
"2026-02-01","29170","10352","3690","651","233","175"
"2026-03-01","28291","9865","3493","625","224","173"
"2026-04-01","23144","7807","2711","462","183","117"
