"Date","Listing Days Booked","Booked Listings"
"2023-05-01","228500","13816"
"2023-06-01","220995","14578"
"2023-07-01","267722","14183"
"2023-08-01","259194","14211"
"2023-09-01","282571","16041"
"2023-10-01","311712","16971"
"2023-11-01","387199","20980"
"2023-12-01","348668","24639"
"2024-01-01","385800","24495"
"2024-02-01","401058","27514"
"2024-03-01","331621","19494"
"2024-04-01","301822","19214"
"2024-05-01","317007","21974"
"2024-06-01","283459","19887"
"2024-07-01","344422","18646"
"2024-08-01","336451","18932"
"2024-09-01","425599","27186"
"2024-10-01","370006","20947"
"2024-11-01","416730","24869"
"2024-12-01","441258","31692"
"2025-01-01","554516","31760"
"2025-02-01","507585","32361"
"2025-03-01","584151","35768"
"2025-04-01","486552","31220"
"2025-05-01","429492","30971"
"2025-06-01","392433","26754"
"2025-07-01","432200","23819"
"2025-08-01","428812","24271"
"2025-09-01","432518","24448"
"2025-10-01","464254","25349"
"2025-11-01","491116","29012"
"2025-12-01","532085","38057"
"2026-01-01","692933","39813"
"2026-02-01","685601","43037"
"2026-03-01","593720","30656"
"2026-04-01","538640","32342"
