"Date","Last 7 Days","Last 30 Days","Last 60 Days","All Time"
"2026-05-14","2728","7198","10183","14220"
"2026-05-15","2856","7898","11246","15518"
"2026-05-16","2973","8254","11771","16148"
"2026-05-17","2231","6654","9715","13683"
"2026-05-18","1710","5431","8098","11759"
"2026-05-19","1528","5008","7456","11006"
"2026-05-20","1454","4988","7465","11017"
"2026-05-21","1501","5321","7986","11591"
"2026-05-22","1669","5918","8782","12455"
"2026-05-23","1794","6227","9165","12856"
"2026-05-24","1510","5292","7875","11317"
"2026-05-25","1262","4528","6789","10060"
"2026-05-26","1178","4178","6235","9305"
"2026-05-27","1167","4067","6040","9046"
"2026-05-28","1266","4340","6404","9434"
"2026-05-29","1453","4758","6908","9862"
"2026-05-30","1486","4835","7039","9912"
"2026-05-31","1204","4056","5995","8576"
"2026-06-01","965","3382","5162","7736"
"2026-06-02","1019","3595","5615","8634"
"2026-06-03","1371","4707","7372","11420"
"2026-06-04","2002","6658","10230","15730"
"2026-06-05","2175","7279","11183","17114"
"2026-06-06","2184","7273","11145","17041"
"2026-06-07","1566","5225","8185","12478"
"2026-06-08","1194","3898","6147","9299"
"2026-06-09","1026","3306","5199","7811"
"2026-06-10","1020","3234","5026","7423"
"2026-06-11","1074","3440","5269","7612"
"2026-06-12","1194","3813","5705","7967"
"2026-06-13","1169","3790","5650","7917"
