"Date","Length of Stay"
"2023-05-01",""
"2023-06-01",""
"2023-07-01",""
"2023-08-01",""
"2023-09-01",""
"2023-10-01",""
"2023-11-01",""
"2023-12-01",""
"2024-01-01",""
"2024-02-01",""
"2024-03-01",""
"2024-04-01","6.56"
"2024-05-01","5.12"
"2024-06-01","6.32"
"2024-07-01","6.19"
"2024-08-01","5.65"
"2024-09-01","5.01"
"2024-10-01","5.54"
"2024-11-01","5.13"
"2024-12-01","5.48"
"2025-01-01","6.03"
"2025-02-01","5.57"
"2025-03-01","5.82"
"2025-04-01","5.04"
"2025-05-01","5.03"
"2025-06-01","5.52"
"2025-07-01","5.75"
"2025-08-01","5.53"
"2025-09-01","5.46"
"2025-10-01","5.07"
"2025-11-01","5.04"
"2025-12-01","5.25"
"2026-01-01","5.76"
"2026-02-01","5.47"
"2026-03-01","5.71"
"2026-04-01","4.96"
