"Date","Occupancy"
"2023-05-01","54.39"
"2023-06-01","54.84"
"2023-07-01","65.33"
"2023-08-01","62.68"
"2023-09-01","63.69"
"2023-10-01","64.93"
"2023-11-01","68.16"
"2023-12-01","55.94"
"2024-01-01","53.97"
"2024-02-01","57.7"
"2024-03-01","49.92"
"2024-04-01","54.12"
"2024-05-01","52.07"
"2024-06-01","50.17"
"2024-07-01","64.84"
"2024-08-01","60.77"
"2024-09-01","62.69"
"2024-10-01","51.95"
"2024-11-01","63.38"
"2024-12-01","61.09"
"2025-01-01","60.37"
"2025-02-01","72.42"
"2025-03-01","56.73"
"2025-04-01","60.15"
"2025-05-01","46.52"
"2025-06-01","57.43"
"2025-07-01","57.33"
"2025-08-01","60.66"
"2025-09-01","61.96"
"2025-10-01","63.5"
"2025-11-01","64.14"
"2025-12-01","60.12"
"2026-01-01","60.96"
"2026-02-01","67.97"
"2026-03-01","54.23"
"2026-04-01","61.42"
