"Date","0-6","7-14","15-30","31-60","61-90","91+"
"2025-05-01","25955","10349","12594","12596","9143","13095"
"2025-06-01","24219","9558","12568","11824","5946","9462"
"2025-07-01","30246","11155","12347","10769","5115","6529"
"2025-08-01","29392","11331","13470","11358","5160","7180"
"2025-09-01","29736","12004","14979","12291","4988","6589"
"2025-10-01","31663","13317","16174","14411","6000","6997"
"2025-11-01","30133","12339","16148","16838","8333","10569"
"2025-12-01","29551","11888","15306","15902","10964","22605"
"2026-01-01","38191","15398","19010","19135","10103","16145"
"2026-02-01","31718","12054","19487","22899","14008","27605"
"2026-03-01","38806","14661","17813","17696","7790","8261"
"2026-04-01","35500","14662","18799","17815","10109","10345"
