"Date","1 bedroom","2 bedroom","3 bedroom","4 bedroom","5 bedroom","6+ bedroom"
"2023-05-01","821","460","132","47","17","9"
"2023-06-01","756","404","117","44","9","4"
"2023-07-01","758","401","136","43","12","4"
"2023-08-01","756","399","126","44","10","4"
"2023-09-01","843","444","127","51","13","5"
"2023-10-01","930","488","137","57","11","5"
"2023-11-01","1049","597","174","69","16","8"
"2023-12-01","1309","776","214","80","26","13"
"2024-01-01","1331","781","206","69","19","13"
"2024-02-01","1340","779","219","80","28","19"
"2024-03-01","1342","763","220","83","27","19"
"2024-04-01","1087","590","179","64","10","13"
"2024-05-01","1096","587","170","64","11","14"
"2024-06-01","1046","543","137","53","12","11"
"2024-07-01","1015","550","151","51","9","12"
"2024-08-01","1031","552","151","49","12","12"
"2024-09-01","1507","843","222","91","19","19"
"2024-10-01","1482","806","206","87","20","19"
"2024-11-01","1299","650","178","69","23","16"
"2024-12-01","1613","880","232","83","32","27"
"2025-01-01","1647","888","241","89","35","28"
"2025-02-01","1604","870","248","91","33","26"
"2025-03-01","1666","903","249","87","35","33"
"2025-04-01","1586","859","244","69","34","25"
"2025-05-01","1503","791","227","64","26","21"
"2025-06-01","1250","656","165","52","19","14"
"2025-07-01","1252","677","166","56","23","16"
"2025-08-01","1209","637","173","50","24","18"
"2025-09-01","1218","617","164","50","26","17"
"2025-10-01","1248","637","168","49","26","20"
"2025-11-01","1318","685","181","61","31","24"
"2025-12-01","1691","906","227","83","40","38"
"2026-01-01","1769","950","234","82","39","36"
"2026-02-01","1766","989","245","98","41","35"
"2026-03-01","1706","946","227","92","39","34"
"2026-04-01","1423","740","189","56","33","17"
