"Date","Listing Days Booked","Booked Listings"
"2023-05-01","18118","1233"
"2023-06-01","16965","1174"
"2023-07-01","21001","1206"
"2023-08-01","19458","1174"
"2023-09-01","23854","1408"
"2023-10-01","27027","1548"
"2023-11-01","32415","1875"
"2023-12-01","31172","2220"
"2024-01-01","36576","2225"
"2024-02-01","31500","2311"
"2024-03-01","26674","1710"
"2024-04-01","25587","1732"
"2024-05-01","24340","1693"
"2024-06-01","23498","1648"
"2024-07-01","28857","1640"
"2024-08-01","24639","1553"
"2024-09-01","36699","2659"
"2024-10-01","29668","1811"
"2024-11-01","31369","2101"
"2024-12-01","37133","2758"
"2025-01-01","50353","2801"
"2025-02-01","41164","2679"
"2025-03-01","42803","2871"
"2025-04-01","37941","2583"
"2025-05-01","29921","2175"
"2025-06-01","27549","1966"
"2025-07-01","32949","1905"
"2025-08-01","29386","1846"
"2025-09-01","31335","1903"
"2025-10-01","34075","2000"
"2025-11-01","34043","2169"
"2025-12-01","39187","2857"
"2026-01-01","51799","2986"
"2026-02-01","45706","3046"
"2026-03-01","36588","2148"
"2026-04-01","36985","2306"
