"Date","Length of Stay"
"2023-05-01",""
"2023-06-01",""
"2023-07-01",""
"2023-08-01",""
"2023-09-01",""
"2023-10-01",""
"2023-11-01",""
"2023-12-01",""
"2024-01-01",""
"2024-02-01",""
"2024-03-01",""
"2024-04-01","6.23"
"2024-05-01","5.02"
"2024-06-01","6.22"
"2024-07-01","6.07"
"2024-08-01","5.43"
"2024-09-01","4.58"
"2024-10-01","5.5"
"2024-11-01","5.05"
"2024-12-01","5.8"
"2025-01-01","6.56"
"2025-02-01","5.85"
"2025-03-01","5.65"
"2025-04-01","5.24"
"2025-05-01","5.02"
"2025-06-01","5.57"
"2025-07-01","6.07"
"2025-08-01","5.51"
"2025-09-01","5.26"
"2025-10-01","4.96"
"2025-11-01","4.95"
"2025-12-01","5.48"
"2026-01-01","6.18"
"2026-02-01","5.59"
"2026-03-01","6"
"2026-04-01","5.2"
