"Date","Occupancy"
"2023-05-01","47.94"
"2023-06-01","51.84"
"2023-07-01","61.94"
"2023-08-01","55.62"
"2023-09-01","61.94"
"2023-10-01","62.74"
"2023-11-01","63.69"
"2023-12-01","55.74"
"2024-01-01","56.11"
"2024-02-01","51.94"
"2024-03-01","47.19"
"2024-04-01","51.19"
"2024-05-01","51.9"
"2024-06-01","51.1"
"2024-07-01","62.29"
"2024-08-01","52.28"
"2024-09-01","58.3"
"2024-10-01","45.04"
"2024-11-01","55.62"
"2024-12-01","59.97"
"2025-01-01","62.71"
"2025-02-01","65.56"
"2025-03-01","51.22"
"2025-04-01","57.75"
"2025-05-01","42.9"
"2025-06-01","53.93"
"2025-07-01","57.56"
"2025-08-01","53.03"
"2025-09-01","58.5"
"2025-10-01","60.12"
"2025-11-01","58.23"
"2025-12-01","59.63"
"2026-01-01","60.91"
"2026-02-01","62.42"
"2026-03-01","47.57"
"2026-04-01","59.11"
