"Date","1 bedroom","2 bedroom","3 bedroom","4 bedroom","5 bedroom","6+ bedroom"
"2023-05-01","318.55","457.94","662.51","1196.11","2435.88","3013.27"
"2023-06-01","309.66","457","679.94","1704.26","2470.01","2219.66"
"2023-07-01","313.11","480.97","702.8","1609.57","1873.28","1829.31"
"2023-08-01","313.47","461.13","682.66","1570.34","1957.48","4171.05"
"2023-09-01","325.42","493.01","710.63","1701.73","2259.57","3251.36"
"2023-10-01","341.64","509.56","718.51","2065.3","2054.35","3962.8"
"2023-11-01","330.97","489.62","756.32","1682.08","2370.52","2935.08"
"2023-12-01","389.6","584.18","816.53","1630.14","2058.76","2834.57"
"2024-01-01","429.4","668.77","842.89","1826.21","2026.05","3959.03"
"2024-02-01","402.72","601.02","909.25","1958.13","2841.64","4796.31"
"2024-03-01","350.72","548.75","775.82","1721","2041.05","2614.97"
"2024-04-01","364.52","556.12","768.4","1789.64","1763.52","3229.5"
"2024-05-01","357.69","521.43","684.27","1704.67","2095.99","3607.47"
"2024-06-01","363.91","523.29","732.71","1809.21","3315.9","3763.18"
"2024-07-01","349.71","534.6","752.81","1460.06","1772.3","2721.27"
"2024-08-01","334.1","511.72","760.83","1781.88","1845.81","2777.44"
"2024-09-01","460.7","677.48","949.09","2123.69","2357.08","3334.77"
"2024-10-01","370.35","544.46","787.03","1928.89","1863.7","3060.21"
"2024-11-01","384.18","582.58","845.16","2168.67","2061.07","3367.62"
"2024-12-01","446.61","650.3","896.36","1925.2","2526.15","3746.43"
"2025-01-01","477.15","691.14","967.94","1821.05","2775.04","4957.61"
"2025-02-01","430.74","647.84","924.39","1783.41","2690.28","4706.04"
"2025-03-01","426.24","634.25","927.82","2050.23","2361.3","4050.18"
"2025-04-01","401.55","618.6","928.9","1833.13","1908.89","3074.47"
"2025-05-01","365.68","555.92","812.53","1753.35","1872.3","1940.68"
"2025-06-01","352.38","529.42","782.93","1660.13","1980.42","2625.76"
"2025-07-01","353.93","557.79","769.54","1290.74","1766.76","2058.35"
"2025-08-01","348.63","509.64","751.85","1551.32","2128.7","2982.71"
"2025-09-01","370.79","529.69","799.88","1690.58","2004.41","4793.82"
"2025-10-01","398.46","553.1","802.97","1798.31","2081.99","4072.55"
"2025-11-01","414.83","599.99","852.74","2014.43","2384.14","3928.87"
"2025-12-01","501.9","679.38","971.22","1825.02","2135.8","4591.42"
"2026-01-01","523.67","790.32","1039.22","1889.85","2442.58","4012.61"
"2026-02-01","539.49","777.45","1129.03","2506.38","2637.17","5888.59"
"2026-03-01","430.68","613.97","920.98","2118.17","2360.16","4483.17"
"2026-04-01","407.85","576.19","863.48","2240.77","2159.55","2895.58"
