"Date","Daily Rate"
"2023-05-01","417"
"2023-06-01","426"
"2023-07-01","435"
"2023-08-01","421"
"2023-09-01","448"
"2023-10-01","457"
"2023-11-01","463"
"2023-12-01","518"
"2024-01-01","583"
"2024-02-01","583"
"2024-03-01","483"
"2024-04-01","510"
"2024-05-01","458"
"2024-06-01","488"
"2024-07-01","472"
"2024-08-01","460"
"2024-09-01","633"
"2024-10-01","491"
"2024-11-01","543"
"2024-12-01","604"
"2025-01-01","645"
"2025-02-01","599"
"2025-03-01","590"
"2025-04-01","566"
"2025-05-01","482"
"2025-06-01","474"
"2025-07-01","480"
"2025-08-01","461"
"2025-09-01","499"
"2025-10-01","516"
"2025-11-01","571"
"2025-12-01","641"
"2026-01-01","696"
"2026-02-01","743"
"2026-03-01","582"
"2026-04-01","541"
