"Date","Budget","Economy","Midscale","Upscale","Luxury"
"2023-05-01","245","298","368","444","653"
"2023-06-01","231","301","387","432","682"
"2023-07-01","242","297","404","470","660"
"2023-08-01","235","296","393","447","637"
"2023-09-01","269","319","403","470","655"
"2023-10-01","243","315","418","475","684"
"2023-11-01","231","312","415","482","694"
"2023-12-01","254","360","445","549","791"
"2024-01-01","278","401","496","600","871"
"2024-02-01","257","377","496","618","899"
"2024-03-01","234","323","432","538","721"
"2024-04-01","262","340","428","552","813"
"2024-05-01","236","314","397","492","758"
"2024-06-01","242","319","413","530","823"
"2024-07-01","256","332","423","523","721"
"2024-08-01","234","315","406","500","717"
"2024-09-01","301","455","549","653","967"
"2024-10-01","253","345","429","507","772"
"2024-11-01","269","368","454","550","847"
"2024-12-01","300","412","508","660","897"
"2025-01-01","304","432","527","686","953"
"2025-02-01","263","395","504","634","901"
"2025-03-01","257","395","513","622","925"
"2025-04-01","278","392","477","579","908"
"2025-05-01","250","339","418","514","792"
"2025-06-01","241","334","427","507","741"
"2025-07-01","243","345","443","502","718"
"2025-08-01","234","328","415","474","736"
"2025-09-01","231","345","428","477","829"
"2025-10-01","268","357","442","522","812"
"2025-11-01","263","406","473","562","898"
"2025-12-01","294","444","517","644","983"
"2026-01-01","321","490","583","690","980"
"2026-02-01","335","499","617","722","1084"
"2026-03-01","260","403","507","609","805"
"2026-04-01","259","372","478","557","758"
